filename                         cluster(QHA=100cm^-1,T=298.15,p=1atm)  G(Eh)           H(Eh)           S(Eh/K)
6ma6msa-66_8_1097                6ma6msa                                -4559.68082266  -4559.51977314  0.0005401627368774108
6sa6ma-66_1_1072-str64-4337      6ma6sa                                 -4775.24305874  -4775.09708499  0.000489598356531947
7am1msa6sa-s8-116-str67          7am1msa6sa                             -5260.37187558  -5260.22596898  0.0004893731343283582
7am7msa-77_5_541                 7am7msa                                -5044.80767189  -5044.64989059  0.0005292010732852592
7sa7am-77_8_935-str27-1961       7am7sa                                 -5296.29415633  -5296.15113556  0.0004796940466208283
7dma1msa6sa-s12-187-str15        7dma1msa6sa                            -5810.00017605  -5809.81027962  0.0006369157471071609
7dma7msa-77_8_1098               7dma7msa                               -5594.4067731   -5594.20294006  0.0006836593660908939
7sa7dma-77_7_975-str91-2934      7dma7sa                                -5845.92677329  -5845.73788326  0.0006335402985074627
7ma1msa6sa_s34-118-str6          7ma1msa6sa                             -5535.20174493  -5535.03444441  0.0005611286936105988
7ma7msa-77_7_1067                7ma7msa                                -5319.61997324  -5319.4399548   0.0006037848063055509
7sa7ma-77_10_930-str25-4417      7ma7sa                                 -5571.12219419  -5570.95624942  0.0005565814858292806
8am1msa7sa-s38-190               8am1msa7sa                             -6016.99466341  -6016.8307957   0.000549614992453463
8am8msa-88_1_961                 8am8msa                                -5765.49853514  -5765.3259657   0.0005788007043434514
8sa8am-88_2_375                  8am8sa                                 -6052.91599122  -6052.75372582  0.0005442407848398458
8dma1msa7sa-s7-209-str16         8dma1msa7sa                            -6645.1327235   -6644.91940413  0.0007154766728156969
8dma8msa-88_2_794                8dma8msa                               -6393.60149135  -6393.37428367  0.0007620582928056348
8sa8dma-88_6_720-str3-3041       8dma8sa                                -6681.0612173   -6680.84973891  0.0007093019956397787
8ma1msa7sa_s41-143               8ma1msa7sa                             -6331.06974963  -6330.87863114  0.0006410145228911622
8ma8msa-88_10_980                8ma8msa                                -6079.57017901  -6079.36822188  0.0006773675331209123
8sa8ma-88_6_840-str95-4468       8ma8sa                                 -6367.00608787  -6366.82097055  0.0006208865336240148
9am1msa8sa-s27-198               9am1msa8sa                             -6773.62183547  -6773.43846837  0.0006150163005198726
9am9msa-99_2_199                 9am9msa                                -6486.18964126  -6485.99745838  0.0006445845379842362
9sa9am-99_9_62                   9am9sa                                 -6809.54252657  -6809.35991902  0.0006124687237967466
9dma1msa8sa-s9-134-str12         9dma1msa8sa                            -7480.26150208  -7480.02577821  0.0007906217340264968
9dma9msa-99_8_776                9dma9msa                               -7192.80310441  -7192.54836538  0.0008543989267147411
9sa9dma-99_4_229-str39-3313      9dma9sa                                -7516.19965867  -7515.96587788  0.0007841045782324334
9ma1msa8sa-s41-204               9ma1msa8sa                             -7126.95892256  -7126.75094389  0.0006975638772429986
9ma9msa-99_4_625                 9ma9msa                                -6839.51982873  -6839.29628494  0.0007497695455307732
9sa9ma-99_10_267-str42-4264      9ma9sa                                 -7162.88478866  -7162.67796749  0.0006936816032198558
