Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa3w_35	-1629.5800	0.1763	0.1065	-1629.4037	-1629.4736	146.986		-
2sa3w_36	-1629.5803	0.1765	0.1068	-1629.4039	-1629.4735	146.549		-
2sa3w_37	-1629.5796	0.1768	0.1061	-1629.4028	-1629.4735	148.729		-
2sa3w_38	-1629.5812	0.1771	0.1078	-1629.4041	-1629.4734	145.960		-
2sa3w_39	-1629.5866	0.1776	0.1133	-1629.4089	-1629.4732	135.367		-
2sa3w_40	-1629.5824	0.1774	0.1092	-1629.4050	-1629.4732	143.500		-
2sa3w_41	-1629.5813	0.1766	0.1082	-1629.4047	-1629.4731	144.093		-
2sa3w_42	-1629.5796	0.1770	0.1065	-1629.4026	-1629.4731	148.448		-
2sa3w_43	-1629.5845	0.1783	0.1113	-1629.4062	-1629.4731	140.845		-
2sa3w_44	-1629.5819	0.1768	0.1088	-1629.4052	-1629.4731	143.014		-
2sa3w_45	-1629.5762	0.1769	0.1032	-1629.3993	-1629.4730	155.183		-
2sa3w_46	-1629.5824	0.1770	0.1094	-1629.4054	-1629.4730	142.297		-
2sa3w_47	-1629.5820	0.1768	0.1090	-1629.4051	-1629.4730	142.811		-
2sa3w_48	-1629.5868	0.1784	0.1138	-1629.4084	-1629.4730	135.847		-
2sa3w_49	-1629.5831	0.1782	0.1104	-1629.4048	-1629.4727	142.883		-
2sa3w_50	-1629.5799	0.1753	0.1072	-1629.4045	-1629.4727	143.472		-
2sa3w_51	-1629.5819	0.1778	0.1093	-1629.4042	-1629.4726	144.043		-
2sa3w_52	-1629.5809	0.1765	0.1084	-1629.4044	-1629.4725	143.298		-
2sa3w_53	-1629.5779	0.1777	0.1054	-1629.4003	-1629.4725	151.992		-
2sa3w_54	-1629.5836	0.1770	0.1112	-1629.4066	-1629.4725	138.645		-
2sa3w_55	-1629.5794	0.1769	0.1070	-1629.4025	-1629.4725	147.234		-
2sa3w_56	-1629.5797	0.1773	0.1073	-1629.4025	-1629.4724	147.179		-
2sa3w_57	-1629.5797	0.1763	0.1075	-1629.4034	-1629.4722	144.713		-
2sa3w_58	-1629.5771	0.1770	0.1050	-1629.4001	-1629.4722	151.570		-
2sa3w_59	-1629.5851	0.1776	0.1129	-1629.4075	-1629.4722	136.158		-
2sa3w_60	-1629.5813	0.1760	0.1092	-1629.4053	-1629.4721	140.576		-
2sa3w_61	-1629.5843	0.1775	0.1122	-1629.4068	-1629.4721	137.502		-
2sa3w_62	-1629.5800	0.1771	0.1079	-1629.4029	-1629.4720	145.532		-
2sa3w_63	-1629.5795	0.1770	0.1075	-1629.4026	-1629.4720	146.128		-
2sa3w_64	-1629.5812	0.1767	0.1092	-1629.4044	-1629.4720	142.205		-
2sa3w_65	-1629.5810	0.1766	0.1090	-1629.4044	-1629.4720	142.305		-
2sa3w_66	-1629.5863	0.1779	0.1143	-1629.4084	-1629.4719	133.753		-
2sa3w_67	-1629.5806	0.1761	0.1087	-1629.4045	-1629.4719	141.939		-
2sa3w_68	-1629.5809	0.1778	0.1090	-1629.4031	-1629.4719	144.681		-
2sa3w_69	-1629.5777	0.1766	0.1058	-1629.4011	-1629.4718	148.865		-
2sa3w_70	-1629.5811	0.1758	0.1093	-1629.4053	-1629.4718	139.867		-
2sa3w_71	-1629.5791	0.1766	0.1073	-1629.4025	-1629.4718	145.807		-
2sa3w_72	-1629.5793	0.1764	0.1076	-1629.4029	-1629.4717	144.809		-
2sa3w_73	-1629.5801	0.1769	0.1085	-1629.4032	-1629.4715	143.866		-
2sa3w_74	-1629.5855	0.1778	0.1140	-1629.4077	-1629.4715	134.216		-
2sa3w_75	-1629.5839	0.1772	0.1127	-1629.4066	-1629.4712	135.951		-
2sa3w_76	-1629.5833	0.1778	0.1120	-1629.4055	-1629.4712	138.358		-
2sa3w_77	-1629.5807	0.1776	0.1095	-1629.4031	-1629.4712	143.312		-
2sa3w_78	-1629.5792	0.1768	0.1080	-1629.4024	-1629.4711	144.703		-
2sa3w_79	-1629.5794	0.1763	0.1083	-1629.4031	-1629.4711	143.232		-
2sa3w_80	-1629.5842	0.1781	0.1132	-1629.4061	-1629.4710	136.611		-
2sa3w_81	-1629.5792	0.1773	0.1088	-1629.4020	-1629.4705	144.148		-
2sa3w_82	-1629.5767	0.1769	0.1063	-1629.3998	-1629.4704	148.575		-
2sa3w_83	-1629.5827	0.1780	0.1124	-1629.4047	-1629.4704	138.195		-
2sa3w_84	-1629.5768	0.1769	0.1064	-1629.3999	-1629.4704	148.338		-
2sa3w_85	-1629.5770	0.1760	0.1067	-1629.4010	-1629.4704	145.961		-
2sa3w_86	-1629.5763	0.1762	0.1060	-1629.4001	-1629.4702	147.706		-
2sa3w_87	-1629.5789	0.1771	0.1086	-1629.4018	-1629.4702	144.077		-
2sa3w_88	-1629.5761	0.1768	0.1061	-1629.3994	-1629.4700	148.741		-
2sa3w_89	-1629.5756	0.1765	0.1057	-1629.3991	-1629.4699	148.923		-
2sa3w_90	-1629.5749	0.1773	0.1050	-1629.3976	-1629.4698	152.135		-
2sa3w_91	-1629.5806	0.1764	0.1110	-1629.4041	-1629.4696	137.785		-
2sa3w_92	-1629.5759	0.1773	0.1064	-1629.3985	-1629.4695	149.341		-
2sa3w_93	-1629.5799	0.1772	0.1106	-1629.4027	-1629.4694	140.352		-
2sa3w_94	-1629.5757	0.1763	0.1063	-1629.3993	-1629.4694	147.404		-
2sa3w_95	-1629.5805	0.1769	0.1112	-1629.4036	-1629.4693	138.197		-
2sa3w_96	-1629.5799	0.1779	0.1106	-1629.4020	-1629.4693	141.620		-
2sa3w_97	-1629.5750	0.1762	0.1059	-1629.3988	-1629.4692	148.055		-
2sa3w_98	-1629.5787	0.1763	0.1095	-1629.4024	-1629.4692	140.490		-
2sa3w_99	-1629.5814	0.1778	0.1124	-1629.4036	-1629.4690	137.713		-
2sa3w_100	-1629.5766	0.1762	0.1076	-1629.4004	-1629.4690	144.295		-
2sa3w_101	-1629.5755	0.1751	0.1065	-1629.4003	-1629.4690	144.401		-
2sa3w_102	-1629.5770	0.1763	0.1081	-1629.4006	-1629.4688	143.535		-
2sa3w_103	-1629.5770	0.1772	0.1084	-1629.3998	-1629.4686	144.855		-
2sa3w_104	-1629.5762	0.1774	0.1080	-1629.3988	-1629.4683	146.244		-
2sa3w_105	-1629.5823	0.1777	0.1140	-1629.4046	-1629.4683	133.941		-
2sa3w_106	-1629.5785	0.1778	0.1105	-1629.4007	-1629.4679	141.562		-
2sa3w_107	-1629.5755	0.1763	0.1079	-1629.3992	-1629.4676	143.984		-
2sa3w_108	-1629.5741	0.1772	0.1074	-1629.3969	-1629.4666	146.883		-
2sa3w_109	-1629.5723	0.1771	0.1057	-1629.3951	-1629.4665	150.264		-
2sa3w_110	-1629.5753	0.1771	0.1093	-1629.3982	-1629.4661	142.804		-
2sa3w_111	-1629.5658	0.1767	0.1030	-1629.3891	-1629.4628	155.165		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
2sa4w_01	-1706.0240	0.2053	0.1351	-1705.8188	-1705.8890	147.710		-1704.4044604928
2sa4w_02	-1706.0227	0.2060	0.1338	-1705.8168	-1705.8889	151.809		-1704.4038794889
2sa4w_03	-1706.0213	0.2043	0.1326	-1705.8169	-1705.8886	150.851		-1704.4026638588
2sa4w_04	-1706.0222	0.2058	0.1348	-1705.8164	-1705.8874	149.517		-
2sa4w_05	-1706.0211	0.2063	0.1341	-1705.8147	-1705.8870	152.078		-
2sa4w_06	-1706.0196	0.2042	0.1328	-1705.8155	-1705.8869	150.265		-
2sa4w_07	-1706.0188	0.2043	0.1319	-1705.8145	-1705.8869	152.312		-
2sa4w_08	-1706.0187	0.2054	0.1318	-1705.8133	-1705.8868	154.715		-
2sa4w_09	-1706.0197	0.2052	0.1332	-1705.8145	-1705.8865	151.548		-
2sa4w_10	-1706.0200	0.2061	0.1339	-1705.8140	-1705.8862	151.920		-
