Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
1sa		-700.1261	0.0456	0.0111	-700.0805	-700.1150	72.540		-699.4600551261
1w		-76.4096	0.0255	0.0041	-76.3841	-76.4055	45.069		-76.3420634988
2sa0w		-1400.2821	0.0931	0.0420	-1400.1890	-1400.2401	107.471		-1398.9494445578
3sa0w		-2100.4371	0.1407	0.0712	-2100.2964	-2100.3659	146.277		-2098.4382604462
4sa0w		-2800.5999	0.1874	0.1092	-2800.4126	-2800.4907	164.429		-2797.9336403248
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa2w_63	-2253.3057	0.1958	0.1198	-2253.1099	-2253.1859	160.007		-
3sa2w_64	-2253.3016	0.1966	0.1157	-2253.1050	-2253.1859	170.300		-
3sa2w_65	-2253.3020	0.1961	0.1161	-2253.1060	-2253.1859	168.233		-
3sa2w_66	-2253.3051	0.1965	0.1193	-2253.1086	-2253.1857	162.305		-
3sa2w_67	-2253.3057	0.1961	0.1200	-2253.1096	-2253.1857	160.211		-
3sa2w_68	-2253.3058	0.1957	0.1201	-2253.1101	-2253.1857	159.156		-
3sa2w_69	-2253.3027	0.1963	0.1173	-2253.1063	-2253.1854	166.329		-
3sa2w_70	-2253.3021	0.1967	0.1168	-2253.1054	-2253.1853	168.191		-
3sa2w_71	-2253.3023	0.1948	0.1171	-2253.1075	-2253.1852	163.459		-
3sa2w_72	-2253.3000	0.1960	0.1150	-2253.1041	-2253.1850	170.386		-
3sa2w_73	-2253.3037	0.1968	0.1186	-2253.1069	-2253.1850	164.413		-
3sa2w_74	-2253.2986	0.1957	0.1138	-2253.1029	-2253.1848	172.462		-
3sa2w_75	-2253.3007	0.1963	0.1160	-2253.1044	-2253.1847	168.864		-
3sa2w_76	-2253.3039	0.1960	0.1193	-2253.1079	-2253.1846	161.443		-
3sa2w_77	-2253.3018	0.1964	0.1176	-2253.1054	-2253.1843	165.978		-
3sa2w_78	-2253.3028	0.1954	0.1186	-2253.1074	-2253.1841	161.505		-
3sa2w_79	-2253.3038	0.1965	0.1199	-2253.1073	-2253.1839	161.255		-
3sa2w_80	-2253.3013	0.1959	0.1175	-2253.1054	-2253.1838	165.056		-
3sa2w_81	-2253.3019	0.1963	0.1183	-2253.1056	-2253.1836	164.145		-
3sa2w_82	-2253.2993	0.1962	0.1158	-2253.1032	-2253.1835	169.186		-
3sa2w_83	-2253.2998	0.1960	0.1164	-2253.1038	-2253.1833	167.466		-
3sa2w_84	-2253.3033	0.1951	0.1204	-2253.1081	-2253.1828	157.212		-
3sa2w_85	-2253.3002	0.1965	0.1175	-2253.1037	-2253.1827	166.300		-
3sa2w_86	-2253.3016	0.1959	0.1192	-2253.1057	-2253.1825	161.441		-
3sa2w_87	-2253.2996	0.1952	0.1174	-2253.1043	-2253.1822	163.859		-
3sa2w_88	-2253.2980	0.1963	0.1158	-2253.1017	-2253.1821	169.287		-
3sa2w_89	-2253.2981	0.1959	0.1161	-2253.1021	-2253.1820	168.063		-
3sa2w_90	-2253.3003	0.1954	0.1187	-2253.1048	-2253.1816	161.613		-
3sa2w_91	-2253.2998	0.1959	0.1189	-2253.1039	-2253.1809	162.118		-
3sa2w_92	-2253.2976	0.1951	0.1167	-2253.1024	-2253.1809	165.050		-
3sa2w_93	-2253.2991	0.1955	0.1185	-2253.1036	-2253.1806	162.185		-
3sa2w_94	-2253.2988	0.1959	0.1186	-2253.1029	-2253.1802	162.600		-
3sa2w_95	-2253.2964	0.1960	0.1178	-2253.1004	-2253.1786	164.625		-
3sa2w_96	-2253.2911	0.1963	0.1126	-2253.0948	-2253.1785	176.168		-
3sa2w_97	-2253.2986	0.1949	0.1204	-2253.1036	-2253.1782	156.903		-
3sa2w_98	-2253.2894	0.1961	0.1114	-2253.0933	-2253.1780	178.253		-
3sa2w_99	-2253.2888	0.1966	0.1112	-2253.0922	-2253.1776	179.788		-
3sa2w_100	-2253.2922	0.1961	0.1149	-2253.0961	-2253.1772	170.872		-
3sa2w_101	-2253.2913	0.1960	0.1148	-2253.0953	-2253.1765	170.920		-
3sa2w_102	-2253.2883	0.1957	0.1121	-2253.0926	-2253.1762	175.911		-
3sa2w_103	-2253.2851	0.1962	0.1114	-2253.0889	-2253.1737	178.559		-
3sa2w_104	-2253.2888	0.1970	0.1163	-2253.0918	-2253.1725	169.788		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa3w_01	-2329.7510	0.2237	0.1447	-2329.5273	-2329.6063	166.250		-2327.5363530907
3sa3w_02	-2329.7484	0.2244	0.1432	-2329.5239	-2329.6052	170.944		-2327.5346900083
3sa3w_03	-2329.7521	0.2252	0.1473	-2329.5268	-2329.6048	164.121		-2327.5357656605
3sa3w_04	-2329.7466	0.2238	0.1424	-2329.5228	-2329.6043	171.413		-
3sa3w_05	-2329.7503	0.2244	0.1465	-2329.5259	-2329.6038	163.929		-
3sa3w_06	-2329.7488	0.2243	0.1451	-2329.5245	-2329.6037	166.727		-
3sa3w_07	-2329.7437	0.2234	0.1402	-2329.5203	-2329.6035	175.168		-
3sa3w_08	-2329.7475	0.2246	0.1440	-2329.5229	-2329.6035	169.625		-
3sa3w_09	-2329.7469	0.2247	0.1434	-2329.5222	-2329.6034	170.927		-
3sa3w_10	-2329.7453	0.2235	0.1420	-2329.5218	-2329.6033	171.495		-
3sa3w_11	-2329.7442	0.2236	0.1411	-2329.5206	-2329.6032	173.694		-
3sa3w_12	-2329.7478	0.2239	0.1449	-2329.5240	-2329.6029	166.137		-
3sa3w_13	-2329.7435	0.2238	0.1407	-2329.5196	-2329.6028	175.001		-
3sa3w_14	-2329.7480	0.2235	0.1453	-2329.5245	-2329.6027	164.669		-
3sa3w_15	-2329.7412	0.2232	0.1386	-2329.5180	-2329.6025	178.011		-
3sa3w_16	-2329.7417	0.2232	0.1392	-2329.5185	-2329.6025	176.894		-
3sa3w_17	-2329.7438	0.2235	0.1414	-2329.5203	-2329.6024	172.924		-
3sa3w_18	-2329.7453	0.2231	0.1429	-2329.5223	-2329.6024	168.708		-
3sa3w_19	-2329.7450	0.2236	0.1426	-2329.5214	-2329.6024	170.375		-
3sa3w_20	-2329.7500	0.2256	0.1477	-2329.5244	-2329.6023	164.009		-
3sa3w_21	-2329.7471	0.2241	0.1448	-2329.5230	-2329.6023	166.773		-
3sa3w_22	-2329.7493	0.2257	0.1471	-2329.5237	-2329.6022	165.340		-
3sa3w_23	-2329.7479	0.2241	0.1458	-2329.5238	-2329.6021	164.901		-
3sa3w_24	-2329.7488	0.2242	0.1468	-2329.5246	-2329.6020	163.015		-
3sa3w_25	-2329.7423	0.2232	0.1404	-2329.5191	-2329.6019	174.276		-
3sa3w_26	-2329.7423	0.2231	0.1405	-2329.5193	-2329.6019	173.860		-
3sa3w_27	-2329.7445	0.2234	0.1426	-2329.5210	-2329.6018	170.062		-
3sa3w_28	-2329.7456	0.2250	0.1438	-2329.5206	-2329.6018	170.899		-
3sa3w_29	-2329.7437	0.2239	0.1420	-2329.5199	-2329.6017	172.347		-
3sa3w_30	-2329.7456	0.2252	0.1439	-2329.5204	-2329.6017	171.100		-
3sa3w_31	-2329.7422	0.2237	0.1406	-2329.5185	-2329.6016	174.774		-
3sa3w_32	-2329.7413	0.2235	0.1399	-2329.5178	-2329.6014	175.791		-
3sa3w_33	-2329.7424	0.2236	0.1412	-2329.5188	-2329.6013	173.615		-
3sa3w_34	-2329.7414	0.2235	0.1402	-2329.5179	-2329.6013	175.425		-
3sa3w_35	-2329.7420	0.2232	0.1410	-2329.5189	-2329.6011	172.929		-
3sa3w_36	-2329.7471	0.2235	0.1461	-2329.5236	-2329.6010	162.879		-
3sa3w_37	-2329.7424	0.2242	0.1414	-2329.5182	-2329.6010	174.212		-
3sa3w_38	-2329.7403	0.2234	0.1393	-2329.5169	-2329.6010	177.028		-
3sa3w_39	-2329.7389	0.2232	0.1381	-2329.5157	-2329.6008	179.217		-
3sa3w_40	-2329.7433	0.2232	0.1426	-2329.5201	-2329.6008	169.672		-
3sa3w_41	-2329.7422	0.2226	0.1415	-2329.5196	-2329.6007	170.618		-
3sa3w_42	-2329.7460	0.2231	0.1454	-2329.5229	-2329.6006	163.551		-
3sa3w_43	-2329.7432	0.2241	0.1426	-2329.5191	-2329.6006	171.590		-
3sa3w_44	-2329.7445	0.2244	0.1440	-2329.5200	-2329.6004	169.246		-
3sa3w_45	-2329.7443	0.2241	0.1440	-2329.5202	-2329.6004	168.721		-
3sa3w_46	-2329.7378	0.2246	0.1376	-2329.5132	-2329.6003	183.255		-
3sa3w_47	-2329.7391	0.2242	0.1388	-2329.5148	-2329.6002	179.714		-
3sa3w_48	-2329.7422	0.2232	0.1421	-2329.5190	-2329.6001	170.711		-
3sa3w_49	-2329.7389	0.2242	0.1388	-2329.5147	-2329.6001	179.653		-
3sa3w_50	-2329.7421	0.2244	0.1420	-2329.5177	-2329.6001	173.396		-
3sa3w_51	-2329.7395	0.2232	0.1395	-2329.5162	-2329.5999	176.139		-
3sa3w_52	-2329.7446	0.2242	0.1449	-2329.5204	-2329.5997	167.034		-
3sa3w_53	-2329.7426	0.2236	0.1428	-2329.5189	-2329.5997	170.098		-
3sa3w_54	-2329.7465	0.2252	0.1468	-2329.5213	-2329.5997	165.083		-
3sa3w_55	-2329.7470	0.2255	0.1474	-2329.5215	-2329.5996	164.338		-
3sa3w_56	-2329.7405	0.2240	0.1409	-2329.5165	-2329.5996	174.847		-
3sa3w_57	-2329.7405	0.2251	0.1410	-2329.5155	-2329.5995	176.908		-
3sa3w_58	-2329.7377	0.2240	0.1383	-2329.5137	-2329.5994	180.367		-
3sa3w_59	-2329.7369	0.2242	0.1378	-2329.5128	-2329.5992	181.846		-
3sa3w_60	-2329.7356	0.2241	0.1366	-2329.5115	-2329.5990	184.147		-
3sa3w_61	-2329.7401	0.2232	0.1412	-2329.5169	-2329.5989	172.461		-
3sa3w_62	-2329.7365	0.2244	0.1378	-2329.5122	-2329.5988	182.341		-
3sa3w_63	-2329.7402	0.2230	0.1414	-2329.5172	-2329.5988	171.601		-
3sa3w_64	-2329.7408	0.2248	0.1421	-2329.5160	-2329.5987	174.065		-
3sa3w_65	-2329.7389	0.2236	0.1404	-2329.5153	-2329.5986	175.218		-
3sa3w_66	-2329.7388	0.2238	0.1402	-2329.5150	-2329.5985	175.891		-
3sa3w_67	-2329.7371	0.2244	0.1388	-2329.5127	-2329.5983	180.248		-
3sa3w_68	-2329.7387	0.2236	0.1404	-2329.5151	-2329.5983	175.021		-
3sa3w_69	-2329.7399	0.2236	0.1417	-2329.5163	-2329.5983	172.478		-
3sa3w_70	-2329.7421	0.2235	0.1439	-2329.5185	-2329.5982	167.572		-
3sa3w_71	-2329.7365	0.2235	0.1384	-2329.5130	-2329.5980	179.023		-
3sa3w_72	-2329.7362	0.2245	0.1383	-2329.5117	-2329.5979	181.482		-
3sa3w_73	-2329.7426	0.2232	0.1447	-2329.5194	-2329.5979	165.304		-
3sa3w_74	-2329.7433	0.2251	0.1455	-2329.5182	-2329.5977	167.459		-
3sa3w_75	-2329.7398	0.2237	0.1422	-2329.5161	-2329.5976	171.532		-
3sa3w_76	-2329.7368	0.2235	0.1392	-2329.5133	-2329.5976	177.593		-
3sa3w_77	-2329.7405	0.2236	0.1429	-2329.5169	-2329.5976	169.846		-
3sa3w_78	-2329.7400	0.2235	0.1424	-2329.5164	-2329.5975	170.658		-
3sa3w_79	-2329.7391	0.2229	0.1416	-2329.5162	-2329.5975	171.146		-
3sa3w_80	-2329.7406	0.2237	0.1431	-2329.5169	-2329.5975	169.634		-
3sa3w_81	-2329.7387	0.2230	0.1413	-2329.5157	-2329.5974	172.014		-
3sa3w_82	-2329.7373	0.2238	0.1399	-2329.5135	-2329.5974	176.562		-
3sa3w_83	-2329.7386	0.2245	0.1413	-2329.5141	-2329.5973	175.104		-
3sa3w_84	-2329.7426	0.2243	0.1452	-2329.5183	-2329.5973	166.385		-
3sa3w_85	-2329.7388	0.2243	0.1415	-2329.5145	-2329.5973	174.216		-
3sa3w_86	-2329.7392	0.2233	0.1419	-2329.5158	-2329.5973	171.461		-
3sa3w_87	-2329.7401	0.2236	0.1430	-2329.5164	-2329.5971	169.769		-
3sa3w_88	-2329.7382	0.2237	0.1411	-2329.5145	-2329.5970	173.679		-
3sa3w_89	-2329.7410	0.2238	0.1440	-2329.5172	-2329.5970	167.982		-
3sa3w_90	-2329.7365	0.2233	0.1396	-2329.5132	-2329.5969	176.275		-
3sa3w_91	-2329.7413	0.2252	0.1445	-2329.5160	-2329.5968	170.005		-
3sa3w_92	-2329.7434	0.2250	0.1467	-2329.5184	-2329.5967	164.782		-
3sa3w_93	-2329.7362	0.2236	0.1396	-2329.5126	-2329.5966	176.794		-
3sa3w_94	-2329.7388	0.2237	0.1423	-2329.5151	-2329.5965	171.267		-
3sa3w_95	-2329.7370	0.2232	0.1406	-2329.5137	-2329.5964	173.985		-
3sa3w_96	-2329.7383	0.2237	0.1419	-2329.5146	-2329.5964	172.141		-
3sa3w_97	-2329.7361	0.2236	0.1398	-2329.5124	-2329.5963	176.515		-
3sa3w_98	-2329.7361	0.2242	0.1401	-2329.5119	-2329.5960	177.026		-
3sa3w_99	-2329.7358	0.2235	0.1398	-2329.5123	-2329.5959	176.033		-
3sa3w_100	-2329.7383	0.2236	0.1425	-2329.5147	-2329.5958	170.649		-
3sa3w_101	-2329.7348	0.2236	0.1392	-2329.5112	-2329.5957	177.768		-
3sa3w_102	-2329.7377	0.2236	0.1423	-2329.5141	-2329.5954	171.048		-
3sa3w_103	-2329.7360	0.2242	0.1408	-2329.5118	-2329.5953	175.606		-
3sa3w_104	-2329.7321	0.2242	0.1368	-2329.5079	-2329.5953	183.862		-
3sa3w_105	-2329.7345	0.2242	0.1395	-2329.5104	-2329.5950	178.099		-
3sa3w_106	-2329.7352	0.2244	0.1403	-2329.5108	-2329.5949	177.091		-
3sa3w_107	-2329.7355	0.2254	0.1406	-2329.5101	-2329.5949	178.487		-
3sa3w_108	-2329.7327	0.2242	0.1388	-2329.5085	-2329.5939	179.633		-
3sa3w_109	-2329.7313	0.2239	0.1383	-2329.5073	-2329.5930	180.201		-
3sa3w_110	-2329.7324	0.2247	0.1396	-2329.5078	-2329.5928	179.020		-
3sa3w_111	-2329.7325	0.2250	0.1399	-2329.5076	-2329.5926	178.938		-
3sa3w_112	-2329.7332	0.2252	0.1413	-2329.5080	-2329.5919	176.606		-
3sa3w_113	-2329.7376	0.2249	0.1459	-2329.5127	-2329.5917	166.395		-
3sa3w_114	-2329.7310	0.2247	0.1396	-2329.5064	-2329.5914	178.962		-
3sa3w_115	-2329.7269	0.2233	0.1357	-2329.5036	-2329.5911	184.261		-
3sa3w_116	-2329.7262	0.2228	0.1351	-2329.5034	-2329.5911	184.579		-
3sa3w_117	-2329.7327	0.2254	0.1418	-2329.5073	-2329.5908	175.769		-
3sa3w_118	-2329.7270	0.2247	0.1364	-2329.5023	-2329.5906	185.729		-
3sa3w_119	-2329.7313	0.2253	0.1408	-2329.5060	-2329.5905	177.824		-
3sa3w_120	-2329.7298	0.2243	0.1395	-2329.5055	-2329.5903	178.537		-
3sa3w_121	-2329.7218	0.2241	0.1317	-2329.4977	-2329.5901	194.508		-
3sa3w_122	-2329.7321	0.2251	0.1429	-2329.5070	-2329.5892	173.044		-
3sa3w_123	-2329.7233	0.2234	0.1347	-2329.4999	-2329.5886	186.552		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa4w_01	-2406.1863	0.2515	0.1672	-2405.9347	-2406.0191	177.594		-2403.9005222127
3sa4w_02	-2406.1844	0.2518	0.1670	-2405.9325	-2406.0174	178.528		-2403.8964931154
3sa4w_03	-2406.1830	0.2512	0.1657	-2405.9319	-2406.0173	179.877		-2403.8976090048
3sa4w_04	-2406.1827	0.2527	0.1656	-2405.9300	-2406.0171	183.359		-
3sa4w_05	-2406.1874	0.2534	0.1703	-2405.9339	-2406.0171	174.985		-
3sa4w_06	-2406.1851	0.2523	0.1681	-2405.9327	-2406.0170	177.358		-
3sa4w_07	-2406.1850	0.2522	0.1680	-2405.9328	-2406.0170	177.211		-
3sa4w_08	-2406.1851	0.2520	0.1683	-2405.9331	-2406.0168	176.129		-
3sa4w_09	-2406.1846	0.2522	0.1680	-2405.9324	-2406.0167	177.331		-
3sa4w_10	-2406.1844	0.2524	0.1679	-2405.9320	-2406.0165	177.841		-
3sa4w_11	-2406.1824	0.2524	0.1659	-2405.9300	-2406.0165	181.998		-
3sa4w_12	-2406.1804	0.2516	0.1642	-2405.9288	-2406.0163	184.089		-
3sa4w_13	-2406.1804	0.2514	0.1641	-2405.9290	-2406.0163	183.677		-
3sa4w_14	-2406.1872	0.2536	0.1709	-2405.9336	-2406.0163	174.030		-
3sa4w_15	-2406.1832	0.2531	0.1673	-2405.9301	-2406.0159	180.596		-
3sa4w_16	-2406.1840	0.2532	0.1682	-2405.9308	-2406.0159	179.053		-
3sa4w_17	-2406.1841	0.2531	0.1683	-2405.9310	-2406.0159	178.586		-
3sa4w_18	-2406.1845	0.2519	0.1688	-2405.9326	-2406.0157	174.829		-
3sa4w_19	-2406.1856	0.2525	0.1699	-2405.9331	-2406.0157	173.851		-
3sa4w_20	-2406.1829	0.2526	0.1675	-2405.9303	-2406.0154	179.145		-
3sa4w_21	-2406.1830	0.2524	0.1676	-2405.9307	-2406.0154	178.370		-
3sa4w_22	-2406.1842	0.2518	0.1690	-2405.9324	-2406.0152	174.322		-
3sa4w_23	-2406.1850	0.2525	0.1698	-2405.9325	-2406.0152	174.133		-
3sa4w_24	-2406.1820	0.2516	0.1668	-2405.9304	-2406.0152	178.396		-
3sa4w_25	-2406.1797	0.2506	0.1645	-2405.9291	-2406.0152	181.191		-
3sa4w_26	-2406.1852	0.2528	0.1702	-2405.9324	-2406.0150	173.833		-
3sa4w_27	-2406.1751	0.2503	0.1601	-2405.9249	-2406.0150	189.748		-
3sa4w_28	-2406.1823	0.2518	0.1674	-2405.9305	-2406.0149	177.696		-
3sa4w_29	-2406.1808	0.2515	0.1659	-2405.9293	-2406.0148	180.049		-
3sa4w_30	-2406.1811	0.2510	0.1663	-2405.9301	-2406.0148	178.198		-
3sa4w_31	-2406.1840	0.2525	0.1694	-2405.9315	-2406.0147	175.021		-
3sa4w_32	-2406.1842	0.2532	0.1696	-2405.9310	-2406.0146	175.943		-
3sa4w_33	-2406.1786	0.2531	0.1641	-2405.9255	-2406.0144	187.237		-
3sa4w_34	-2406.1817	0.2516	0.1673	-2405.9301	-2406.0144	177.456		-
3sa4w_35	-2406.1846	0.2533	0.1702	-2405.9313	-2406.0144	174.897		-
3sa4w_36	-2406.1788	0.2518	0.1645	-2405.9270	-2406.0143	183.701		-
3sa4w_37	-2406.1873	0.2541	0.1730	-2405.9332	-2406.0143	170.792		-
3sa4w_38	-2406.1770	0.2506	0.1628	-2405.9264	-2406.0142	184.709		-
3sa4w_39	-2406.1791	0.2515	0.1650	-2405.9277	-2406.0142	182.027		-
3sa4w_40	-2406.1824	0.2527	0.1684	-2405.9297	-2406.0140	177.413		-
3sa4w_41	-2406.1813	0.2516	0.1674	-2405.9297	-2406.0139	177.166		-
3sa4w_42	-2406.1846	0.2516	0.1710	-2405.9330	-2406.0136	169.452		-
3sa4w_43	-2406.1803	0.2528	0.1670	-2405.9276	-2406.0134	180.543		-
3sa4w_44	-2406.1834	0.2541	0.1701	-2405.9292	-2406.0133	176.852		-
3sa4w_45	-2406.1817	0.2515	0.1685	-2405.9302	-2406.0132	174.636		-
3sa4w_46	-2406.1811	0.2525	0.1681	-2405.9287	-2406.0130	177.598		-
3sa4w_47	-2406.1772	0.2525	0.1644	-2405.9247	-2406.0128	185.565		-
3sa4w_48	-2406.1785	0.2529	0.1658	-2405.9256	-2406.0127	183.219		-
3sa4w_49	-2406.1785	0.2521	0.1658	-2405.9264	-2406.0126	181.579		-
3sa4w_50	-2406.1817	0.2518	0.1692	-2405.9299	-2406.0125	173.818		-
3sa4w_51	-2406.1778	0.2528	0.1654	-2405.9249	-2406.0124	184.027		-
3sa4w_52	-2406.1809	0.2518	0.1687	-2405.9291	-2406.0123	175.014		-
3sa4w_53	-2406.1756	0.2531	0.1634	-2405.9225	-2406.0122	188.797		-
3sa4w_54	-2406.1796	0.2518	0.1674	-2405.9278	-2406.0122	177.666		-
3sa4w_55	-2406.1785	0.2533	0.1663	-2405.9252	-2406.0122	182.996		-
3sa4w_56	-2406.1746	0.2512	0.1624	-2405.9234	-2406.0121	186.713		-
3sa4w_57	-2406.1811	0.2529	0.1690	-2405.9281	-2406.0121	176.703		-
3sa4w_58	-2406.1846	0.2543	0.1725	-2405.9303	-2406.0121	172.106		-
3sa4w_59	-2406.1778	0.2534	0.1659	-2405.9244	-2406.0119	184.071		-
3sa4w_60	-2406.1778	0.2513	0.1661	-2405.9266	-2406.0118	179.341		-
3sa4w_61	-2406.1771	0.2527	0.1656	-2405.9244	-2406.0115	183.279		-
3sa4w_62	-2406.1807	0.2533	0.1693	-2405.9274	-2406.0114	176.774		-
3sa4w_63	-2406.1793	0.2530	0.1679	-2405.9263	-2406.0114	179.022		-
3sa4w_64	-2406.1816	0.2537	0.1703	-2405.9280	-2406.0113	175.499		-
3sa4w_65	-2406.1793	0.2532	0.1680	-2405.9261	-2406.0113	179.429		-
3sa4w_66	-2406.1793	0.2537	0.1680	-2405.9256	-2406.0113	180.346		-
3sa4w_67	-2406.1764	0.2521	0.1652	-2405.9244	-2406.0113	182.904		-
3sa4w_68	-2406.1803	0.2517	0.1691	-2405.9286	-2406.0112	173.839		-
3sa4w_69	-2406.1776	0.2511	0.1667	-2405.9265	-2406.0109	177.668		-
3sa4w_70	-2406.1791	0.2513	0.1687	-2405.9278	-2406.0105	173.954		-
3sa4w_71	-2406.1752	0.2523	0.1647	-2405.9229	-2406.0104	184.319		-
3sa4w_72	-2406.1764	0.2520	0.1660	-2405.9245	-2406.0104	180.900		-
3sa4w_73	-2406.1756	0.2527	0.1652	-2405.9229	-2406.0103	184.039		-
3sa4w_74	-2406.1803	0.2526	0.1700	-2405.9278	-2406.0103	173.742		-
3sa4w_75	-2406.1784	0.2518	0.1683	-2405.9266	-2406.0101	175.867		-
3sa4w_76	-2406.1703	0.2523	0.1602	-2405.9179	-2406.0101	193.928		-
3sa4w_77	-2406.1758	0.2528	0.1658	-2405.9230	-2406.0099	183.016		-
3sa4w_78	-2406.1741	0.2528	0.1643	-2405.9213	-2406.0098	186.203		-
3sa4w_79	-2406.1749	0.2524	0.1651	-2405.9224	-2406.0098	183.835		-
3sa4w_80	-2406.1771	0.2510	0.1678	-2405.9262	-2406.0093	175.079		-
3sa4w_81	-2406.1765	0.2525	0.1672	-2405.9240	-2406.0093	179.581		-
3sa4w_82	-2406.1698	0.2519	0.1606	-2405.9179	-2406.0092	192.176		-
3sa4w_83	-2406.1741	0.2518	0.1649	-2405.9222	-2406.0092	183.010		-
3sa4w_84	-2406.1784	0.2539	0.1693	-2405.9245	-2406.0091	178.173		-
3sa4w_85	-2406.1753	0.2510	0.1665	-2405.9243	-2406.0089	178.029		-
3sa4w_86	-2406.1754	0.2531	0.1666	-2405.9222	-2406.0088	182.121		-
3sa4w_87	-2406.1728	0.2524	0.1643	-2405.9204	-2406.0085	185.305		-
3sa4w_88	-2406.1741	0.2515	0.1659	-2405.9226	-2406.0082	180.155		-
3sa4w_89	-2406.1734	0.2522	0.1653	-2405.9212	-2406.0081	182.733		-
3sa4w_90	-2406.1722	0.2516	0.1641	-2405.9206	-2406.0081	184.052		-
3sa4w_91	-2406.1732	0.2528	0.1652	-2405.9205	-2406.0080	184.249		-
3sa4w_92	-2406.1740	0.2528	0.1663	-2405.9212	-2406.0077	182.035		-
3sa4w_93	-2406.1721	0.2513	0.1645	-2405.9208	-2406.0076	182.660		-
3sa4w_94	-2406.1709	0.2520	0.1634	-2405.9189	-2406.0075	186.460		-
3sa4w_95	-2406.1697	0.2524	0.1627	-2405.9174	-2406.0070	188.696		-
3sa4w_96	-2406.1783	0.2526	0.1715	-2405.9257	-2406.0068	170.791		-
3sa4w_97	-2406.1715	0.2527	0.1652	-2405.9188	-2406.0063	184.067		-
3sa4w_98	-2406.1691	0.2520	0.1631	-2405.9171	-2406.0060	187.137		-
3sa4w_99	-2406.1685	0.2522	0.1633	-2405.9163	-2406.0052	187.159		-
3sa4w_100	-2406.1690	0.2524	0.1638	-2405.9166	-2406.0052	186.447		-
3sa4w_101	-2406.1695	0.2518	0.1645	-2405.9178	-2406.0051	183.767		-
3sa4w_102	-2406.1703	0.2519	0.1654	-2405.9184	-2406.0049	181.927		-
3sa4w_103	-2406.1710	0.2533	0.1665	-2405.9178	-2406.0045	182.620		-
3sa4w_104	-2406.1691	0.2530	0.1647	-2405.9160	-2406.0044	185.892		-
3sa4w_105	-2406.1678	0.2525	0.1637	-2405.9154	-2406.0041	186.860		-
3sa4w_106	-2406.1641	0.2516	0.1602	-2405.9125	-2406.0039	192.439		-
3sa4w_107	-2406.1681	0.2529	0.1644	-2405.9151	-2406.0037	186.405		-
3sa4w_108	-2406.1637	0.2520	0.1605	-2405.9117	-2406.0032	192.682		-
3sa4w_109	-2406.1671	0.2521	0.1639	-2405.9150	-2406.0032	185.738		-
3sa4w_110	-2406.1666	0.2524	0.1642	-2405.9142	-2406.0024	185.639		-
3sa4w_111	-2406.1685	0.2528	0.1672	-2405.9157	-2406.0014	180.267		-
3sa4w_112	-2406.1629	0.2529	0.1619	-2405.9100	-2406.0010	191.632		-
3sa4w_113	-2406.1681	0.2530	0.1686	-2405.9152	-2405.9995	177.585		-
3sa4w_114	-2406.1612	0.2528	0.1618	-2405.9084	-2405.9994	191.579		-
								
Cluster		E(wB97X-D)	H-corr:	G-corr:	H(wB97X-D)	G(wB97X-D)	S(wB97X-D)	E(DLPNO)	
3sa5w_01	-2482.6216	0.2801	0.1877	-2482.3415	-2482.4339	194.637		-2480.2640682816
3sa5w_02	-2482.6184	0.2788	0.1854	-2482.3396	-2482.4329	196.465		-2480.2611571044
3sa5w_03	-2482.6230	0.2804	0.1903	-2482.3426	-2482.4326	189.594		-2480.2651833187
3sa5w_04	-2482.6193	0.2792	0.1871	-2482.3400	-2482.4322	193.957		-
3sa5w_05	-2482.6182	0.2795	0.1865	-2482.3387	-2482.4317	195.811		-
3sa5w_06	-2482.6218	0.2795	0.1901	-2482.3423	-2482.4317	188.122		-
3sa5w_07	-2482.6188	0.2788	0.1872	-2482.3400	-2482.4315	192.629		-
3sa5w_08	-2482.6236	0.2801	0.1927	-2482.3436	-2482.4309	183.786		-
3sa5w_09	-2482.6211	0.2801	0.1903	-2482.3410	-2482.4307	188.934		-
3sa5w_10	-2482.6174	0.2796	0.1867	-2482.3378	-2482.4307	195.595		-
3sa5w_11	-2482.6215	0.2808	0.1910	-2482.3407	-2482.4305	189.148		-
3sa5w_12	-2482.6223	0.2800	0.1920	-2482.3424	-2482.4303	185.173		-
3sa5w_13	-2482.6228	0.2805	0.1929	-2482.3423	-2482.4299	184.382		-
3sa5w_14	-2482.6212	0.2804	0.1920	-2482.3408	-2482.4292	185.991		-
3sa5w_15	-2482.6176	0.2805	0.1888	-2482.3371	-2482.4289	193.122		-
3sa5w_16	-2482.6171	0.2794	0.1883	-2482.3377	-2482.4287	191.617		-
3sa5w_17	-2482.6177	0.2800	0.1891	-2482.3377	-2482.4286	191.401		-
