#CLUSTER   ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
3dma1p3sa  -86.97003105282784   -147.20614399388433  -202.03291276658507
4dma3sa    -88.30018397374079   -163.97031449037604  -253.79886136700821
1b1dma4sa  -88.92681368323974   -154.24081488023512  -219.0642334305487
3dma4sa    -89.84621481527574   -166.09056338504888  -255.724798155357
2gd4sa     -91.64823413314298   -156.9424617458135   -218.9979125025822
4dma1p2sa  -92.32371505000629   -151.98013949766755  -200.08862803229493
1b1gd3sa   -92.58020282560028   -146.44111573672853  -180.6503870906737
4am1p3sa   -92.92553385905921   -158.47498079924844  -219.8539223206143
4am5sa     -95.09472100855783   -189.4272640547715   -316.3928997015712
1b2dma3sa  -95.45979509246536   -160.99350963835604  -219.8011556128082
4am1b3sa   -97.0572002090048    -181.16625384264626  -282.1031481928575
5dma1p2sa  -99.19253915618174   -171.7465238715522   -243.3472571361902
2am1b4sa   -100.68462828965858  -176.1503924629651   -253.11341329200496
1b2gd2sa   -100.6908296358306   -150.92869508336298  -168.49862635463302
5am1p3sa   -100.82023678859696  -177.17003510985523  -256.0784783538109
3dma1p4sa  -101.22843051608652  -176.57869964209385  -252.72604100774038
1b1gd4sa   -104.50218097120523  -171.77186702447943  -225.62363257896965
1b3dma3sa  -106.08850952098146  -183.6301384321414   -260.07589773959415
4am6sa     -107.11933485185727  -216.61346112098545  -367.24509900356406
3gd3sa     -107.46746009867638  -170.3584492902737   -210.9374113427381
1b3gd2sa   -108.20902911364101  -174.92728032474406  -223.77411105376984
5am5sa     -109.18844518857077  -217.0231903907843   -361.6795076382185
4am1p4sa   -109.23556555854157  -189.70407000556588  -269.89268638950074
3am1b4sa   -111.13441460439935  -197.7189529510215   -290.40596460190375
4dma1p3sa  -112.31587036978453  -185.22789510176517  -244.5481292374227
1b4dma3sa  -112.51874530571513  -203.22796772653237  -304.2402227769755
6am5sa     -113.04695101547986  -231.48329170700163  -397.23743314235855
1b2dma4sa  -116.87605000752956  -196.10801749443635  -265.74532110132964
1b2gd3sa   -120.73977510631084  -188.29663489037193  -226.58681798920867
5am1p4sa   -121.55929405521601  -212.32719500502571  -304.43703152724123
4dma1p4sa  -122.5865006186068   -209.46400519413874  -291.38857815105666
4am1b4sa   -122.78462815051898  -220.24820219166577  -326.89442911776683
5am6sa     -123.2347210990265   -243.75154502410442  -404.2154080982061
3gd4sa     -125.78016754356213  -202.92189527652226  -258.73462261723955
5am1b4sa   -127.39316741190851  -237.41412457544357  -369.01209848547217
3am1b5sa   -127.87036877637729  -226.32227818248793  -330.209322171994
4gd3sa     -128.01932796440087  -203.97020706022158  -254.74049671493503
6am1p4sa   -131.13628829433583  -233.47756862081587  -343.25433616116476
1b2gd4sa   -132.92258848645724  -214.12724037095904  -272.36173699220393
1b3dma4sa  -133.8433387845289   -225.35949053242803  -306.94667700163296
5am1p5sa   -136.8691418590024   -242.36005149269477  -353.81824461897014
6am6sa     -137.83656642213464  -269.385064273607    -441.2158237547706
4am1b5sa   -138.6383296493441   -248.7017995514907   -369.1546869072452
1b3gd3sa   -144.87352993898094  -222.9424805296585   -261.84454332209407
5dma1p4sa  -146.37434977246448  -245.46308451797813  -332.3452448297583
5am1b5sa   -147.78026176337153  -270.03817356657237  -410.0550454564675
6am1p5sa   -152.65747348032892  -270.1583932978101   -394.1000161580974
6am1b5sa   -157.05280530638993  -291.2065319297835   -449.9538038669535
1b3gd4sa   -162.8460062847007   -254.35808029049076  -306.9330001882331
6am1p6sa   -164.89610798703507  -293.60646436503157  -431.6966506087641
4gd4sa     -165.2938519497402   -255.85611382173374  -303.74731467955945
1b4gd3sa   -168.95075361593626  -262.2865707206074   -313.0498645129755
1b4gd4sa   -194.0304584740661   -299.1356085711159   -352.524400796376
