# CLUSTER  dG
1dma1eda1msa1nta     -1269.1277391532067
1dma1eda1msa1nta1sa  -1968.6286822427073
1dma1eda1msa1sa      -1688.054127235376
1dma1eda1nta         -605.5609233397439
1dma1eda1nta1sa      -1305.0510521091346
1dma1eda1nta2sa      -2004.5270425949298
1dma1eda1sa          -1024.4858952759744
1dma1eda2fa          -704.0324625247572
1dma1eda2msa         -1652.1280541108442
1dma1eda2msa1nta     -1932.681753630103
1dma1eda2nta         -886.1263433902611
1dma1eda2sa          -1723.977524780223
1dma1eda3sa1tma      nan
1dma1fa              -324.3783925981969
1dma1fa1ma           -420.0391143291051
1dma1fa1ma1msa       -1083.6037361858428
1dma1fa1ma1msa1sa    -1783.09202472373
1dma1fa1ma1sa        -1119.5257628285572
1dma1fa1ma2msa       -1747.1686823648793
1dma1fa1ma2sa        -1819.020500217332
1dma1fa1msa          -987.9341205024821
1dma1fa1msa1sa1tma   -1861.509041748689
1dma1fa1msa1tma      -1162.018531524784
1dma1fa1sa           -1023.8549145238778
1dma1fa1sa1tma       -1197.9426040143019
1dma1fa1tma          -498.454869410693
1dma1fa2msa1tma      -1825.5740192562105
1dma1fa2sa1tma       -1897.4296910029027
1dma1homF            -893.5703218713229
1dma1homF1sa         -1593.055102830655
1dma1homF2sa         -2292.5267983021386
1dma1ma              -230.52714763820302
1dma1ma1msa          -949.349543500288
1dma1ma1msa1nta      -1174.651302791313
1dma1ma1msa1nta1sa   -1874.12793041549
1dma1ma1msa1sa       -1593.575653629873
1dma1ma1nta          -511.07945716767097
1dma1ma1nta1sa       -1210.572047968076
1dma1ma1nta2sa       -1910.0488828371301
1dma1ma1sa           -930.0059129443031
1dma1ma2msa          -1557.648186760261
1dma1ma2msa1nta      -1838.3486680892652
1dma1ma2nta          -791.6491130693979
1dma1ma2sa           -1629.4976317003773
1dma1ma3sa1tma       nan
1dma1msa             -798.4094999692339
1dma1msa1nta         -1078.963994828622
1dma1msa1nta1sa1tma  -1952.5423639907794
1dma1msa1nta1tma     -1253.0602078355298
1dma1msa1sa          -1497.8951303874342
1dma1msa1sa1tma      -1671.989784085816
1dma1msa1tma         -972.496264830753
1dma1msa2sa          -2197.3610571390423
1dma1msa3sa          -2896.818958577979
1dma1nta             -415.4164864298431
1dma1nta1sa          -1114.886224425246
1dma1nta1sa1tma      -1289.011634697473
1dma1nta1tma         -589.4960863933692
1dma1nta2sa1tma      -1988.4694443747126
1dma1p               -135.221992594672
1dma1p1sa            -834.6860823639129
1dma1p2sa            -1534.1507363820754
1dma1sa              -834.338533245512
1dma1sa1tma          -1008.4238799276872
1dma1sa1w            -910.6798089548399
1dma1sa2w            -987.0196213284039
1dma1sa3w            -1063.3567354913378
1dma1sa4w            -1139.693284813498
1dma1sa5w            -1216.032095128506
1dma1sa6w            -1292.365179736923
1dma1sua             nan
1dma1sua1w           -667.471194441139
1dma1sua2w           -743.813381019102
1dma1sua3w           -820.1517902804528
