#CLUSTER             ddG_298.15K_[Eh]       ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
1am1fa1ma            1.240497569917352      -18.46605502503371   -66.09610127432664
1am2fa1tma           1.1648428827611497     -30.019034725613892  -104.59123799615976
1am1dma1fa           1.1629011011391412     -17.652291521793813  -63.10646527915216
2eda1fa              1.1231962865858804     -22.101213614470907  -77.89505249407735
2am2fa               1.0560440052649938     -28.236888333485695  -98.24897648439122
1am1eda1fa           1.0537277432886185     -19.094038825540338  -67.57594019390264
1dma1fa1ma           1.0261271951749222     -20.084776435665844  -70.80631772896332
1b1dma               0.9982386521878652     -10.924366295424988  -39.98861293826279
1dma1eda1fa          0.8094331068132306     -21.403608374443138  -74.50290619237191
1sa5w                0.7633639738778584     -49.4159830849967    -168.3023547169823
1oa1sa5w             0.3188970826449804     -65.26779757690383   -219.9788517842357
1dma2fa1tma          0.0018799454410327598  -33.69851542217657   -113.03167991855194
1w                   0.0                    0.0                  0.0
1triAABmda           0.0                    0.0                  0.0
1tma                 0.0                    0.0                  0.0
1teAABBmda           0.0                    0.0                  0.0
1sua                 0.0                    0.0                  0.0
1sa                  0.0                    0.0                  0.0
1put                 0.0                    0.0                  0.0
1pha                 0.0                    0.0                  0.0
1pda                 0.0                    0.0                  0.0
1pa                  0.0                    0.0                  0.0
1oa                  0.0                    0.0                  0.0
1nta                 0.0                    0.0                  0.0
1msa                 0.0                    0.0                  0.0
1mea                 0.0                    0.0                  0.0
1mda                 0.0                    0.0                  0.0
1mbtca               0.0                    0.0                  0.0
1ma                  0.0                    0.0                  0.0
1homF                0.0                    0.0                  0.0
1fa                  0.0                    0.0                  0.0
1eda                 0.0                    0.0                  0.0
1dma1p               0.0                    0.0                  0.0
1dma                 0.0                    0.0                  0.0
1diABmda             0.0                    0.0                  0.0
1diAAmda             0.0                    0.0                  0.0
1ca                  0.0                    0.0                  0.0
1bda                 0.0                    0.0                  0.0
1b                   0.0                    0.0                  0.0
1am1p                0.0                    0.0                  0.0
1am                  0.0                    0.0                  0.0
1am2fa1ma            -0.32861047370533925   -32.212889001755684  -106.94039419135228
1pha1w               -0.4917657285113819    -10.577700050824205  -33.82838947572265
2fa2ma               -0.5984392688551452    -33.293799608087284  -109.66077591521022
1fa1ma               -0.7591522055008681    -11.268783027342579  -35.24947449888809
1nta2tma             -0.767507374228444     -22.317893996834755  -72.28035090665428
1msa1nta             -0.7793372228334192    -12.568966501450632  -39.542610359272174
1am1ma1nta           -0.8889362191839609    -21.422564169304678  -68.87012560852808
1nta1sa              -1.0204581166035496    -12.128739190287888  -37.25735728251473
1fa1nta              -1.1183648723817896    -12.232002191012725  -37.27532221573563
1am1b1w              -1.1225608828826807    -21.539249699315405  -68.47790983223302
1am1fa               -1.1323803636769298    -9.895268476058845   -29.39087074432561
2fa1ma1tma           -1.1852153617073782    -33.329102538205916  -107.81112586488919
2ma1nta              -1.331337303854525     -22.695825670671184  -71.65684510073788
1oa1sa4w             -1.337204176292289     -56.64951300248504   -185.51839284203515
1eda2fa1tma          -1.381976127406233     -35.982776079385076  -116.05165169262244
