Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-9
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/r2...
1msa1am1dma-4_2     -855.94662501825  
1msa1am1dma-16_9    -855.935735859573 
1msa1am1dma-3_8     -855.950265095177 
1msa1am1dma-30_4    -855.924228294527 
1msa1am1dma-25_10   -855.917624669051 
1msa1am1dma-16_7    -855.917957178698 
1msa1am1dma-24_5    -855.922394748329 
1msa1am1dma-3_6     -855.944988781739 
1msa1am1dma-8_2     -855.945728727592 
1msa1am1dma-24_2    -855.920305264993 
1msa1am1dma-3_1     -855.975514508738 
1msa1am1dma-8_5     -855.945114872072 
1msa1am1dma-23_8    -855.901267491897 
1msa1am1dma-1_3     -855.957646313605 
1msa1am1dma-14_2    -855.926969782882 
1msa1am1dma-6_9     -855.933780898037 
1msa1am1dma-13_8    -855.924972459987 
1msa1am1dma-18_11   -855.925814922031 
1msa1am1dma-26_10   -855.918903170773 
1msa1am1dma-1_4     -855.963583804431 
1msa1am1dma-26_7    -855.921648711524 
1msa1am1dma-14_5    -855.929634672474 
1msa1am1dma-15_11   -855.928768825497 
1msa1am1dma-30_10   -855.910312188498 
1msa1am1dma-13_1    -855.962636730501 
1msa1am1dma-18_5    -855.929392693234 
1msa1am1dma-21_3    -855.926078589665 
1msa1am1dma-26_9    -855.906979601534 
1msa1am1dma-2_11    -855.937966490076 
1msa1am1dma-6_7     -855.935279926809 
1msa1am1dma-13_6    -855.930850860363 
1msa1am1dma-18_2    -855.926511977053 
1msa1am1dma-21_4    -855.934899031194 
1msa1am1dma-23_2    -855.924034684969 
1msa1am1dma-28_6    -855.91899761959  
1msa1am1dma-4_1     -855.972995890873 
1msa1am1dma-24_8    -855.919837207099 
1msa1am1dma-30_7    -855.91370435238  
1msa1am1dma-8_8     -855.951020675715 
1msa1am1dma-23_5    -855.924557481539 
1msa1am1dma-11_7    -855.924294728384 
1msa1am1dma-22_11   -855.91557904341  
1msa1am1dma-28_1    -855.951776991772 
1msa1am1dma-4_6     -855.932216687301 
1msa1am1dma-16_3    -855.929990739731 
1msa1am1dma-24_1    -855.957292552064 
1msa1am1dma-3_2     -855.936679390594 
1msa1am1dma-8_6     -855.948483417273 
1msa1am1dma-11_9    -855.93108777747  
1msa1am1dma-11_10   -855.919646738826 
1msa1am1dma-4_8     -855.93403069181  
1msa1am1dma-28_8    -855.909211018498 
1msa1am1dma-16_4    -855.924666072711 
1msa1am1dma-24_6    -855.929478521835 
1msa1am1dma-3_5     -855.932310121734 
1msa1am1dma-6_10    -855.936029093949 
1msa1am1dma-30_9    -855.91055946747  
1msa1am1dma-8_1     -855.968009198984 
1msa1am1dma-7_9     -855.937461869912 
1msa1am1dma-12_8    -855.921822466394 
1msa1am1dma-24_10   -855.923620353461 
1msa1am1dma-15_2    -855.926089073427 
1msa1am1dma-15_5    -855.934893367965 
1msa1am1dma-27_7    -855.910434231656 
1msa1am1dma-29_10   -855.912398062371 
1msa1am1dma-27_9    -855.911901897313 
1msa1am1dma-20_3    -855.935652685421 
1msa1am1dma-19_5    -855.924984294317 
1msa1am1dma-12_1    -855.96220087682  
1msa1am1dma-7_7     -855.949876439304 
1msa1am1dma-20_4    -855.921869572286 
1msa1am1dma-19_2    -855.923691295386 
1msa1am1dma-12_6    -855.935376323992 
1msa1am1dma-17_11   -855.930855909052 
1msa1am1dma-25_8    -855.912994695991 
1msa1am1dma-31_7    -855.917717119511 
1msa1am1dma-20_11   -855.927772105146 
1msa1am1dma-29_6    -855.918193801485 
1msa1am1dma-22_2    -855.923061101839 
1msa1am1dma-5_1     -855.974234198786 
1msa1am1dma-9_10    -855.938342621758 
1msa1am1dma-29_1    -855.948036664355 
1msa1am1dma-10_7    -855.93076273874  
1msa1am1dma-22_5    -855.933513024904 
1msa1am1dma-5_6     -855.933548062466 
1msa1am1dma-9_8     -855.934862846476 
1msa1am1dma-4_10    -855.935422030297 
1msa1am1dma-10_9    -855.923583803951 
1msa1am1dma-5_8     -855.940596472068 
1msa1am1dma-25_1    -855.956951398747 
1msa1am1dma-17_3    -855.931786700411 
1msa1am1dma-9_6     -855.941931340223 
1msa1am1dma-2_2     -855.939588621409 
1msa1am1dma-25_6    -855.91638120225  
1msa1am1dma-17_4    -855.932296679018 
1msa1am1dma-13_10   -855.912865316839 
1msa1am1dma-9_1     -855.968523481725 
1msa1am1dma-31_9    -855.927903330395 
1msa1am1dma-2_5     -855.942852026472 
1msa1am1dma-29_8    -855.923462334395 
1msa1am1dma-28_9    -855.912583268852 
1msa1am1dma-16_5    -855.926547517181 
1msa1am1dma-24_7    -855.920255176462 
1msa1am1dma-3_4     -855.945407327068 
1msa1am1dma-6_11    -855.943701182642 
1msa1am1dma-30_8    -855.902959690373 
1msa1am1dma-16_2    -855.925771331645 
1msa1am1dma-3_3     -855.915859651897 
1msa1am1dma-8_7     -855.945628441412 
1msa1am1dma-11_8    -855.91337538365  
1msa1am1dma-11_11   -855.927287328632 
1msa1am1dma-4_9     -855.928454926714 
1msa1am1dma-30_1    -855.948278479485 
1msa1am1dma-8_9     -855.94546290695  
1msa1am1dma-23_4    -855.909557561249 
1msa1am1dma-11_6    -855.920885394431 
1msa1am1dma-22_10   -855.929938806466 
1msa1am1dma-4_7     -855.933762753612 
1msa1am1dma-23_3    -855.924991072871 
1msa1am1dma-11_1    -855.963252302068 
1msa1am1dma-28_7    -855.91833354519  
1msa1am1dma-24_9    -855.923007027865 
1msa1am1dma-30_6    -855.919264617694 
1msa1am1dma-2_10    -855.957589498144 
1msa1am1dma-6_6     -855.940787931412 
1msa1am1dma-13_7    -855.916091791491 
1msa1am1dma-18_3    -855.917513364459 
1msa1am1dma-21_5    -855.927250517931 
1msa1am1dma-15_10   -855.937021976545 
1msa1am1dma-6_1     -855.968356370704 
1msa1am1dma-30_11   -855.909657605858 
1msa1am1dma-18_4    -855.923487689122 
1msa1am1dma-21_2    -855.919019109081 
1msa1am1dma-26_8    -855.911717572029 
1msa1am1dma-26_11   -855.92143552807  
1msa1am1dma-1_5     -855.949665322892 
1msa1am1dma-26_6    -855.929324539986 
1msa1am1dma-14_4    -855.920641341423 
1msa1am1dma-1_2     -855.937235129048 
1msa1am1dma-26_1    -855.949949584124 
1msa1am1dma-14_3    -855.925050756822 
1msa1am1dma-6_8     -855.944665897405 
1msa1am1dma-18_10   -855.915042150743 
1msa1am1dma-13_9    -855.931410117877 
1msa1am1dma-25_7    -855.927779642512 
1msa1am1dma-17_5    -855.930972486248 
1msa1am1dma-13_11   -855.923086235607 
1msa1am1dma-31_8    -855.924282485572 
1msa1am1dma-2_4     -855.935488848417 
1msa1am1dma-29_9    -855.911419020116 
1msa1am1dma-4_11    -855.952347122826 
1msa1am1dma-10_8    -855.929145341895 
1msa1am1dma-5_9     -855.941632175304 
1msa1am1dma-17_2    -855.922505986385 
1msa1am1dma-9_7     -855.927774278068 
1msa1am1dma-2_3     -855.932031277471 
1msa1am1dma-10_6    -855.928003847648 
1msa1am1dma-22_4    -855.931825997032 
1msa1am1dma-5_7     -855.929420663116 
1msa1am1dma-9_9     -855.923525215406 
1msa1am1dma-31_1    -855.95035661136  
1msa1am1dma-25_9    -855.916932121674 
1msa1am1dma-31_6    -855.92071606327  
1msa1am1dma-20_10   -855.932598730783 
1msa1am1dma-29_7    -855.929398595037 
1msa1am1dma-10_1    -855.963015673988 
1msa1am1dma-22_3    -855.929417943599 
1msa1am1dma-9_11    -855.925529400474 
1msa1am1dma-7_6     -855.943170436552 
1msa1am1dma-20_5    -855.923189322204 
1msa1am1dma-19_3    -855.923569139553 
1msa1am1dma-12_7    -855.922523946648 
1msa1am1dma-17_10   -855.930791323696 
1msa1am1dma-29_11   -855.914848806283 
1msa1am1dma-27_8    -855.917296895348 
1msa1am1dma-7_1     -855.969844524832 
1msa1am1dma-20_2    -855.92740028815  
1msa1am1dma-19_4    -855.928455170911 
1msa1am1dma-15_4    -855.929633284608 
