#CLUSTER  ddG_298.15K_[kcal/mol] ddH_298.15K_[kcal/mol] ddS_298.15K_[cal/mol/K]
1ca                          0.0                 0.0                 0.0                
1bda                         0.0                 0.0                 0.0                
1b                           0.0                 0.0                 0.0                
1am                          0.0                 0.0                 0.0                
4w                           -0.5390977410133928 -27.255857029085746 -89.60844973358672 
6w                           -0.5944273218046874 -46.053877010941505 -152.4717413687382 
1gd1ml                       -0.9970380552258575 -11.227454737076187 -34.31298568459654 
5w                           -1.011399451555917  -37.23161360426457  -121.4831935358321 
7w                           -1.0409748365054838 -59.380767758062575 -195.6726242549156 
1am1fa1tma                   -1.3469977004133398 -20.432676380922203 -64.01367996136571 
1gd1w                        -1.4703146615574951 -10.804633861836919 -31.30746000437177 
1fa1ma1tma                   -1.6143864523619413 -22.80063448481087  -71.05902409020746 
1nta1sa                      -2.1029345369315706 -13.18430968694156  -37.16711437221721 
1msa1w                       -2.1325669215075322 -12.140650556924811 -33.56727699293567 
1eda1fa1tma                  -2.3312095765868435 -24.11826442500751  -73.0741400249403  
1msa1nta                     -2.3465840450080577 -14.100673320150236 -39.42340860360021 
1fa2ma                       -2.455539526301436  -22.93402125760622  -68.68516428413204 
2dma1fa                      -2.517889786104206  -24.684329638825147 -74.34660356450374 
2fa2tma                      -2.566036530159181  -35.60419680751511  -110.81053254196998
1dma1p1sa                    -2.6029204781953013 -13.267099756776588 -35.76783256292873 
1dma1fa1tma                  -2.6100575282616774 -23.979748580008163 -71.67429499164348 
1fa1nta                      -2.777582798997173  -13.891509896115167 -37.27629413769039 
1pcla1sa                     -2.79728045797674   -15.388799687556457 -42.232162433617944
1am1dma1fa                   -2.8139837476192042 -23.380415740961325 -68.98015090851439 
8w                           -2.877920812694356  -72.49687156948494  -233.50310500326998
2gd                          -2.9048305422184058 -13.931926035438664 -36.9850595112576  
1eda1fa1ma                   -2.909119407166145  -25.470593293663114 -75.67155420599391 
1gd1pxml                     -2.976728735418874  -14.446013320004568 -38.4681689906848  
1am1fa1ma                    -2.990057424918632  -22.697202870534966 -66.0980897053718  
2am1fa                       -3.0963358981825877 -21.152593451246503 -60.56098458176783 
1dma1fa1ma                   -3.1036305854067905 -24.27985224337317  -71.02539546552472 
1sa1w                        -3.302921422444342  -12.469795457356668 -30.74584616786192 
2eda1fa                      -3.3843899232160766 -27.455529913524515 -80.7349991289407  
1am1eda1fa                   -3.4276455211947905 -23.63173925470619  -67.76486242993744 
1fa1ma                       -3.5086639367073076 -13.460785490751732 -33.37957925233988 
1dma1eda1fa                  -3.5798505633865716 -25.97608997025236  -75.11735504587989 
1am1fa                       -3.6042036561557325 -12.362974517629482 -29.377061417072547
1dma1fa                      -4.038635967386654  -14.227537291051704 -34.17374249090387 
1am2fa1tma                   -4.059332655815524  -36.38444242591504  -108.41894942184112
1ca1sa                       -4.422991460363846  -17.524758109706454 -43.94354066516803 
1msa2w                       -4.6978351737052435 -24.861284899772727 -67.62854176104264 
1fa1tma                      -4.831579290694208  -15.047284612708609 -34.263643541869904
1eda1fa                      -4.861844849845511  -16.197969403976458 -38.02154806022724 
2fa                          -4.953211137006292  -16.145789508940652 -37.540091806016974
1dma1p1w                     -4.9555824541675975 -13.24158979155618  -27.791404787486336
1dma1ml1p                    -5.218334664416034  -14.982302396092564 -32.748508239744936
1fa1msa                      -5.2711346735595725 -17.292344929883257 -40.3193367644892  
1gd1pxfa                     -5.514577202906366  -16.79443698178511  -37.83283507944526 
2am2fa                       -5.5165293413738254 -34.16196400334593  -96.07725863501403 
3gd                          -5.519985806953628  -28.930206338816788 -78.51826440350024 
1nta2tma                     -5.523799031332601  -27.144728255661903 -72.51695195147047 
1ma1msa                      -5.590151284006424  -17.27877684502164  -39.203842230543664
9w                           -5.630588598840404  -85.42491059546592  -267.63146737088607
2fa1tma                      -5.833120820883778  -27.918413136037998 -74.07443338964974 
1am1msa                      -5.850136391818523  -15.656374935992062 -32.89028523971048 
1am1ca                       -5.937139251560438  -15.509623536083382 -32.106269610805   
1am2fa                       -5.971645205630921  -25.620723032247042 -65.90332995689678 
1sa2w                        -6.028348688167171  -25.308447675328352 -64.66576886537007 
2sa                          -6.11597741371952   -17.600495504564606 -38.5192624215706  
1dma1malonic                 -6.134389492654009  -17.69911300847889  -38.78827273460141 
2msa                         -6.1579475302714854 -19.67600614146795  -45.339790747313984
1fa1sa                       -6.173369815514889  -17.502284279558808 -37.99736529944679 
3dma1malonic                 -6.1794947794114705 -41.04431535504409  -116.93718120289408
1dma2fa1tma                  -6.218574655082193  -39.508272057864815 -111.65419219462626
2fa1ma                       -6.320641627229634  -27.89065253084118  -72.34617106703982 
10w                          -6.426809790544212  -97.22219720273279  -304.5292215736746 
1malonic1sa                  -6.429749117407482  -19.294946245558094 -43.15008260332333 
1ma1nta                      -6.683285825914936  -17.32385616618558  -35.68864779555077 
1ca1ma                       -6.71663144712511   -18.37971003614075  -39.11815726631156 
1msa3w                       -7.071013617969584  -37.433572840469424 -101.83652263113564
2dma1malonic                 -7.138878341560485  -30.527998598467093 -78.4474937341996  
2fa2ma                       -7.238884014514042  -39.88949468312785  -109.51068478515398
2fa1ma1tma                   -7.287630182283465  -40.59359597011644  -111.70875662535201
1am2fa1ma                    -7.452700428417302  -38.93479618385027  -105.59146656204058
2ma1nta                      -7.539235389500391  -29.61809621512657  -74.05286206812069 
1dma1msa                     -7.588383195165079  -19.83790623972891  -41.08510160857318 
1dma1nta                     -7.6097682315448765 -18.514771631365875 -36.57556062321618 
1ma1nta1tma                  -7.627425191676593  -28.88171083398629  -71.28722335171503 
1eda2fa1tma                  -7.686095724013285  -42.259073610417545 -115.9583360269386 
1eda2fa                      -7.751383518159855  -30.897360411356203 -77.6319868966019  
1msa2tma                     -7.891606148303254  -30.78137633553706  -76.77266539412194 
2am1msa                      -7.90455993876094   -28.58607579517411  -69.36614407633874 
1sa3w                        -8.118497704679612  -37.2056397558772   -97.55875247731643 
2msa1w                       -8.213119236090279  -31.50227000439918  -78.11219442662727 
1dma2fa                      -8.280224601679947  -30.693604844622314 -75.17484569171393 
1dma2fa1ma                   -8.43490230703901   -41.24363560929487  -110.04103069705803
1nta1tma                     -8.507595234012115  -19.270791485672817 -36.09993711778941 
1am1dma2fa                   -8.513804468500894  -40.47729371563764  -107.20606824485714
1msa1sa                      -8.567063733702525  -21.808866071514785 -44.41322266571703 
1ca2tma                      -8.686555721593322  -31.43472089699935  -76.29771985696686 
1p1tma1w                     -8.703725092978857  -16.614690980648447 -26.53350960139263 
3msa                         -8.703767798608169  -35.33355355146341  -89.31673906705828 
1am1eda2fa                   -8.717611882893834  -42.31706987519283  -112.6931343025402 
1am1sa                       -8.80128210876137   -17.565151339396834 -29.394161430904816
1dma1p2sa                    -8.945500296293176  -31.77911525705713  -76.58431984199821 
1fa1gd                       -8.989468117521028  -20.214063894323772 -37.64747870818578 
2am1ca                       -9.113418313441798  -29.73418927710736  -69.16240470774775 
1ml1p1tma                    -9.163036073950934  -18.24766000264208  -30.4699779596598  
1am1mb1msa                   -9.274539006350096  -32.79578795458656  -78.89065553634934 
1b1gd                        -9.394097308148048  -20.294423755418393 -36.559874047487895
4msa                         -9.397306153085083  -49.9338128559757   -135.96010968642804
1am1pcla                     -9.46000617381651   -18.878140415006783 -31.588577028789118
1am2ca                       -9.701328788069077  -33.117960685747676 -78.53976822954043 
1ca1dma                      -9.714357897406444  -22.17932435052353  -41.80770234156357 
1ma2nta                      -9.8214621329098    -32.72975596989272  -76.83479401981285 
3am1p                        -9.984882423988893  -26.85080068485695  -56.568567032907225
1dma1ma1nta                  -10.076287319447147 -32.34263243453461  -74.68168745649433 
2sa1w                        -10.196313242930046 -32.068341647544    -73.35914272923492 
2dma1nta                     -10.236418661981588 -32.77036172742373  -75.57921537970482 
1ma1sa                       -10.261952794273384 -20.475863623374607 -34.25762478333986 
1dma1nta1tma                 -10.270074134503375 -32.29412191710435  -73.8690182211998  
1eda2fa1ma                   -10.544029868076905 -45.418081342373625 -116.96814178866308
1ca1tma                      -10.880521090017282 -22.54510134339216  -39.12319387353298 
1am1ca1tma                   -10.934872690020711 -32.02548684933572  -70.73826650798331 
3sa                          -10.999188309069723 -35.77598861139268  -83.10179541287422 
1ma1msa1tma                  -11.049911659400095 -33.82490037192474  -76.38768644154939 
2dma1p                       -11.269665131898364 -22.20093348901719  -36.66365372170604 
1mb1msa                      -11.45414298697142  -25.73665801982861  -47.903790149235746
2ma1msa                      -11.628432246565353 -35.447335051430855 -79.88899146330643 
1ca1ma1tma                   -11.754388400411699 -34.78323378159257  -77.23912587989267 
2am1msa1p                    -11.942727953341091 -32.309582637186395 -68.31076533212455 
1dma2ml1p                    -11.986041889816988 -30.973981568211457 -63.68586174197891 
2eda2fa                      -12.044971986062592 -48.86492429234204  -123.49472515953373
1dma1p2w                     -12.223537864236278 -28.27774667464837  -53.84608019586348 
1am1ca1ma                    -12.392192780142068 -34.579725295407115 -74.41734870080481 
1am1fa1msa                   -12.440632710640784 -34.322860014857724 -73.39335000576366 
1msa1sa1w                    -12.521890113399422 -35.25815195733594  -76.25779588770772 
1ca2ma                       -12.660218164412072 -35.80320291992393  -77.62195121766953 
1dma1eda2fa                  -12.747766410873737 -47.322679821169004 -115.96482780606394
1ma1pcla                     -12.781264539633412 -24.163063719228376 -38.174741504897575
2msa1sa                      -12.80198688065866  -39.03357436187798  -87.98117551944112 
2msa2w                       -13.047496605388005 -48.34395542445418  -118.38490296533605
2ml1p1tma                    -13.071808755004895 -32.09383683549822  -63.80019480289748 
1fa1msa2tma                  -13.0919580750342   -47.40387252927758  -115.082724984969  
1p1tma2w                     -13.11260906732059  -29.682823251598165 -55.57677070024398 
2am1p1sa                     -13.191754825340468 -32.171132202172885 -63.65714364204676 
1dma1msa1tma                 -13.218867812611279 -36.58865116778179  -78.38263744840413 
2dma2fa                      -13.230792186514009 -46.993783292738954 -113.24162705429801
1dma2nta                     -13.406612075224984 -36.422568422334734 -77.19589584840203 
1msa1sa2w                    -13.504648105721571 -46.395199490725645 -110.31544989065978
1dma1sa                      -13.633665362955071 -23.958290589333046 -34.62896269125859 
2nta1tma                     -13.65897053469962  -36.13945921577397  -75.39992849589642 
1eda1sa                      -13.788193343789317 -24.408214973344002 -35.61972708237519 
1ca1dma1tma                  -14.032463418858242 -37.383829525264446 -78.32086569305204 
2ca1ma                       -14.104984488381888 -39.29194693143654  -84.47748597334353 
2sa2w                        -14.278429526792024 -47.51740332013287  -111.48406437503893
1malonic2sa                  -14.289612963679247 -40.396703103440814 -87.56360939054359 
2am1sa                       -14.303132076922338 -32.61684218299342  -61.42448467607797 
1msa2sa                      -14.34112507791724  -40.3295469408622   -87.16559404004077 
1bda1sa                      -14.446626655291766 -26.33612234966131  -39.877563958944194
1dma1ma1msa                  -14.452245584398042 -38.23845623061061  -79.77934142571038 
1sa1tma                      -14.596133661296335 -24.810765349509893 -34.26004255662011 
2msa3w                       -14.600581456092186 -59.983562532113865 -152.21526438372177
1am1fa1sa                    -14.649246569315437 -35.78122727654409  -70.87701058949065 
2dma1msa                     -14.887209076492582 -39.01339844276663  -80.91963564115223 
1am1ca1pcla                  -14.898833546205424 -37.94616986886831  -77.30114480172823 
1ma1msa1nta                  -15.009812908974709 -38.633456403185846 -79.2340885265829  
1dma3ml1p                    -15.102816868427908 -46.193122828233754 -104.27739714846403
1diAAmda1sa                  -15.133774261339568 -26.641761324601248 -38.59797774005111 
1p1tma3w                     -15.370351451390889 -40.62753835582407  -84.71301997118496 
1dma1p3w                     -15.375728260434698 -40.42239032682846  -84.00691620460307 
1am2msa                      -15.413247350836173 -39.35427384148352  -80.29859631275872 
1am1ca1dma                   -15.440259281196631 -37.44509275179007  -73.80457310270299 
1am2pcla                     -15.514010902959853 -37.91726520075463  -75.14088310501232 
1ca1dma1ma                   -15.601494829970761 -38.27301818570413  -76.0406619340942  
3am1dma1sa                   -15.671622633934021 -55.35970892832847  -133.11449369251028
2ma1sa                       -15.730735713324975 -37.38909521599999  -72.64249371993391 
4sa                          -15.745346163865179 -51.63973752525635  -120.39037853951208
1msa3sa                      -15.779345902847126 -52.94845006195828  -124.66578621197316
1fa1msa1tma                  -15.787249284170684 -39.34260780745535  -79.00505961215916 
1b1homJ                      -15.790358751895837 -32.42513440072071  -55.793310912749305
1msa1sa3w                    -15.792673965625    -60.00476871087449  -148.28809238668572
1am3dma1sa                   -15.801151507650502 -59.64967484079534  -147.06866789643317
1ca2dma                      -15.846579545992427 -40.040476442314684 -81.14672780917321 
4gd                          -15.862582897301763 -52.26308030489599  -122.08786653575743
1sa1teAABBmda                -15.86717658265843  -28.18822809876292  -41.325009277471835
1am1ma1sa                    -15.89742817619117  -36.29370015475433  -68.40943142236088 
2am2dma1sa                   -15.967426248767879 -58.05925653502345  -141.17669054609127
3msa1sa                      -16.033381962392014 -56.56906663643895  -135.95735258670112
2ca1tma                      -16.147989329896518 -41.00994110308238  -83.38739484514144 
2am1pcla                     -16.200081695104018 -36.375058201374486 -67.66720277102759 
1dma1pcla                    -16.202054130088072 -27.974880015244707 -39.486251500941094
1fa1ma1msa                   -16.326731556095183 -39.25410727754934  -76.89879497388213 
2msa1sa1w                    -16.40498582341388  -54.03060740381625  -126.19695314597945
1am1fa1msa1tma               -16.4102532852703   -49.15502348841983  -109.82649741161646
3am1sa                       -16.484735082893167 -45.38297277572565  -96.92516415513549 
1sa1triAABmda                -16.51163154889946  -28.112652188865468 -38.91001388553748 
1pcla2tma                    -16.840171716787154 -39.00783253001282  -74.35069868580923 
2am1dma1sa                   -16.86632766877301  -48.00100207695505  -104.42620965338801
1ma1sa1tma                   -16.982914333653753 -39.03392314186203  -73.95944594382539 
1diABmda1sa                  -17.054540001729038 -28.93175412522396  -39.836371368353284
1mda1sa                      -17.08816555311205  -29.159480387112126 -40.48738834144899 
2am1fa1msa                   -17.109458829567302 -49.57828714477364  -108.90098378373006
1am1sa1tma                   -17.178335468823207 -37.53194312189589  -68.26633457385869 
1pcla1tma                    -17.941740477006533 -29.313576471438864 -38.14132481793958 
1ma1nta1sa                   -17.942943201458547 -40.34162169258343  -75.12553577442307 
2ca1dma                      -18.000881674175616 -43.386058727133786 -85.14230103296102 
1dma1sa1tma                  -18.071303815188003 -39.93444430860109  -73.3293325282913  
1b2gd                        -18.08905040434911  -44.013220426189946 -86.9500923086734  
1dma1msa1nta                 -18.166292478592368 -42.05963634935324  -80.13866802183836 
2msa2sa                      -18.22515349276364  -57.75288248830475  -132.5766526759075 
1pda1sa                      -18.225243192107882 -30.622650411794893 -41.58110756226547 
2sa3w                        -18.228961649234407 -61.5853781044716   -145.41813333974537
1am1dma1sa                   -18.319921060290653 -38.6416874495917   -68.15953845118698 
1msa2sa1w                    -18.372683512083313 -55.09366481417237  -123.16277478548426
1msa1nta1tma                 -18.47036714425485  -42.015818913059775 -78.97183219503924 
1dma1ma1sa                   -18.70869039563695  -40.49210715654772  -73.06193781964626 
1dma1fa1msa                  -18.771134942246135 -42.57827523373999  -79.84953980004772 
1eda1fa1msa                  -18.79907589411596  -43.561030167969875 -83.05200158952687 
2dma1sa                      -18.854352267982904 -41.11747721605934  -74.67088696305534 
4am1sa                       -18.903449345496483 -57.81019954918884  -130.4938796031667 
1am1eda1sa                   -18.927427282906137 -40.06761308008572  -70.90453059605032 
1am1ca1sa                    -18.9394683567225   -42.346603811951354 -78.50791700590112 
1am1pcla1tma                 -19.10374681315443  -39.509654470864916 -68.44174964871571 
1sa2tma                      -19.162440427200636 -41.21630888164509  -73.96903724454874 
5dma1p                       -19.200970135483658 -64.20881054518395  -150.95703642339572
1dma1fa1msa1tma              -19.251043268319336 -54.639005598583026 -118.69180724564933
1eda1sa1tma                  -19.269147135157255 -42.446474981697975 -77.73713850957576 
3dma1p                       -19.438754342496395 -41.10270854542614  -72.6612584367811  
1fa1ma1sa                    -19.48163062648382  -41.827759757929016 -74.9492843581242  
3ma1sa                       -19.55442819657037  -52.83063870208571  -111.6089569196654 
3msa2sa                      -19.569989743060432 -73.08426303102169  -179.48775209691092
1ca1ma1pcla                  -19.616511493863072 -44.332585200842004 -82.89811741364667 
1fa1ma1msa1tma               -19.816262881693547 -54.484277789568296 -116.27709175882853
1am1ma1pcla                  -19.91483497369336  -41.647322814853396 -72.8911213857017  
2am1fa1sa                    -19.9940213385853   -51.29647232382558  -104.98893505015369
2ma1pcla                     -20.081242514657788 -43.42415229429025  -78.29250303427837 
1eda1fa1msa1tma              -20.08559083410364  -56.13050361556816  -120.89522985616367
1ma1pcla1tma                 -20.111443308429443 -42.24956932573696  -74.25163849539106 
4dma1p                       -20.240168155374704 -53.0089871121163   -109.90715732605621
1am2dma1sa                   -20.277968687645625 -53.68923922779504  -112.06195049556062
1am1fa1ma1msa                -20.328618074418046 -53.30469934159191  -110.60231852141256
1fa1sa1tma                   -20.472905739981798 -43.3355608334241   -76.68172092409199 
1put1sa                      -20.484126189199742 -34.04955531656742  -45.49867223700319 
1eda1ma1sa                   -20.588143920351285 -44.299013019306585 -79.52664463846821 
1ma2pcla                     -20.648273010738194 -44.79695754847489  -80.99508481530117 
1malonic3sa                  -20.67380946641788  -60.69797329045832  -134.2417032497866 
2msa3sa                      -20.679430472897366 -73.14731184951961  -175.97813643090834
1nta1sa1tma                  -20.784242186302436 -43.55235203690245  -76.36461462571516 
1ma2msa                      -20.798283432261087 -46.22662960679736  -85.28709097658546 
1am1dma1fa1msa               -20.86056438012747  -54.785331629333086 -113.78422689651165
4ma1sa                       -20.884795065619983 -65.5920668921899   -149.94892445581382
2msa1tma                     -21.182983327438706 -46.322714360576356 -84.31907104885671 
3dma1sa                      -21.49598299455829  -55.91879818326561  -115.45468787120718
1dma1nta1sa                  -21.593985424668062 -44.046110668045    -75.30479705964885 
1msa2sa2w                    -21.6711414304591   -68.85093326745846  -158.24179720716128
3am1msa1p                    -21.818219620821765 -52.16540049991454  -101.78494341495205
1fa2ma1msa                   -21.915272999962326 -56.48818473081337  -115.95811413997234
5am1p                        -22.123151899199    -55.54407623311272  -112.09432947815206
1dma1eda1sa                  -22.152992941904813 -45.922518575389404 -79.72337961910556 
1ca1pcla1tma                 -22.332921215347596 -46.459931934048655 -80.9223904698652  
1am1msa1sa                   -22.35505016183015  -46.08511566033121  -79.5910296777902  
1am1fa1sa1tma                -22.356770126338233 -55.26511783347814  -110.37513904821279
1am1pcla1sa                  -22.41126609238563  -45.27659390500048  -76.69068526818657 
1am1eda1fa1msa               -22.44774669437902  -58.714154466753826 -121.63812769571351
2msa1sa2w                    -22.65225335107243  -72.05915278744942  -165.71155269575388
1dma1fa1sa                   -22.868318776774686 -45.17957057652529  -74.83230521415013 
4dma1sa                      -22.98854520585155  -70.11004914197838  -158.04629862885514
1dma1malonic1sa              -23.096711261139717 -47.88579787762137  -83.14300391229452 
1eda1fa1sa                   -23.097740517521743 -45.69521585223265  -75.79230365522753 
1dma1ma1pcla                 -23.133335610444192 -46.4778140844428   -78.29776446046833 
2eda1sa                      -23.157803771842737 -47.80086336610839  -82.65322687967718 
2msa2sa1w                    -23.16550220564386  -73.00885584511707  -167.1754272660374 
2nta2tma                     -23.229774876584997 -57.289582881727256 -114.23715581133868
1am2sa                       -23.23134780069813  -45.79376887611579  -75.6747310934949  
1am1dma1pcla                 -23.257397784094792 -44.80968894297257  -72.28673875232319 
1dma1pcla1tma                -23.32943626960332  -45.479251344368095 -74.29084378568652 
2msa1sa3w                    -23.41188521060394  -81.60846663935808  -195.19229055409613
1am1fa1ma1sa                 -23.448517656652257 -55.27288698608754  -106.73945775424663
1gd1sa                       -23.472126839042176 -33.592248537170235 -33.943054496822924
1ca1dma1pcla                 -23.51615287788445  -48.1696154269157   -82.68811856046094 
1ca1ma1sa                    -23.821881670621224 -48.59727354935603  -83.0970715372261  
1b1msa                       -23.934531127044465 -38.1548234554939   -47.69509417570906 
2dma1pcla                    -23.96045731077902  -47.469786133093294 -78.85067523813652 
1fa2ma1sa                    -24.050768323533703 -56.869808899529744 -110.07560146275378
1am1b1msa                    -24.20034073566785  -46.385310999001376 -74.40875486611746 
1dma2msa                     -24.250308994785883 -49.69561575469561  -85.34397705810687 
1dma1fa1ma1msa               -24.290515659726225 -58.949966155632865 -116.24836658008653
3am1p1sa                     -24.42686179179873  -53.222640415042406 -96.58151475218837 
1mb2msa                      -24.50158762821229  -52.02200933342101  -92.30394668759799 
1fa1sa2tma                   -24.504365933098597 -59.13306238350924  -116.14521700637123
2pcla1tma                    -24.512525879908935 -48.14919729172834  -79.27778437635935 
1ma2nta1tma                  -24.53993084760441  -59.062866527965525 -115.7904936451939 
1msa2sa3w                    -24.56841260974761  -82.24800633545965  -193.45830530213   
1dma2pcla                    -24.800697991158813 -49.32375376170967  -82.25073208265164 
1msa1nta2tma                 -24.81695968512213  -59.84747914664331  -117.49293798939591
2ma2nta                      -24.976278009533416 -60.005048262595665 -117.48707111531542
1ca1sa1tma                   -25.147305313686957 -49.687233715405455 -82.30732316504437 
1fa1ma1sa1tma                -25.23502468429797  -60.53828842515941  -118.40772678483447
3am2msa                      -25.4343192538945   -69.80376383126713  -148.81584630990145
1dma1eda1fa1msa              -25.73638312384719  -62.32363042270299  -122.71422874022241
2put1sa                      -25.817693833378144 -54.89804231369635  -97.53596672933732 
1am1eda1fa1sa                -25.83391242561629  -59.353729641065    -112.42601782864631
1am1dma1fa1sa                -25.859219821810257 -58.60866359085776  -109.84217262773868
1am2ca1tma                   -25.878592863460653 -60.88002808546298  -117.39538897216882
2dma1fa1msa                  -25.908382564259227 -61.34005547454581  -118.83841324879609
2am2ca                       -25.946247892570682 -59.01686227461323  -110.91938414172202
3msa3sa                      -26.2672826575581   -93.2389168923255   -224.62396188074058
1dma1fa1ma1sa                -26.292955290875398 -60.477928450272884 -114.65696179581658
1eda1fa1ma1sa                -26.335299760801718 -62.43436934746569  -121.07687267068839
1eda1fa1ma1msa               -26.40811388590373  -63.81820625643013  -125.47406463375613
3am1msa1sa                   -26.49655622651335  -68.81629209697712  -141.94108962052917
2am2msa                      -26.60396884707734  -61.224971540039405 -116.11941201730104
1eda1fa1sa1tma               -26.604998565351707 -62.6396623251203   -120.86085446873037
2eda1fa1msa                  -26.695944820705336 -65.31446069898084  -129.5271369385833 
1fa1msa1nta3tma              -26.75959688803414  -85.66292450809851  -197.5627288952595 
1msa1sa1tma                  -26.836595750486595 -51.63180218319758  -83.16352987649164 
2ca2tma                      -27.00857230325346  -62.943344345956575 -120.52581600820852
2am1p2sa                     -27.238896706243395 -59.442976066697156 -108.01301143833969
1dma2nta1tma                 -27.481260322747403 -62.21936736474163  -116.51218192854994
1ma1pcla1sa                  -27.52560294250725  -51.68375743780052  -81.02684720865926 
1ma1msa1sa                   -27.5273676791694   -52.513429703773    -83.80366266872443 
1b3gd                        -27.573388752236497 -65.8716674062889   -128.45305602602718
2msa2tma                     -27.62554286691011  -65.22511370381108  -126.10957852423829
1dma1fa1sa1tma               -27.963064898809534 -63.48088600029587  -119.12735569901494
1ca1dma1sa                   -28.063992869341746 -52.42544411792187  -81.7087078603123  
1ma2sa                       -28.195792636135593 -52.14293298556004  -80.31910229589315 
1ma1msa1nta1tma              -28.206933964553173 -63.469321465992834 -118.27062720596717
1dma1ma2nta                  -28.273295592051    -63.33503833995201  -117.5976614047236 
1dma1eda1fa1sa               -28.298913156206254 -65.62182253121864  -125.18165143428467
2am3msa                      -28.34337250352837  -75.67826968571171  -158.76202308273628
2eda1fa1sa                   -28.391205023333896 -65.63602633133996  -124.91974277375246
2am1fa1msa1nta               -28.494741585833253 -73.77654589575832  -151.87591584728415
4am1msa1p                    -28.51302635212778  -68.0157821252651   -132.49289207806817
1fa1msa1nta2tma              -28.55698924214812  -76.04155928370892  -159.26402831284105
1am2ca1ma                    -28.77039540237456  -64.11939712664753  -118.56113273225847
2msa2sa2w                    -28.988683939052862 -91.14011831705284  -208.45693234314774
