# CLUSTER  dG
1sua5w        -837.9471375465961
1sua6w        -914.2865175748591
1tma1w        -250.41373999548702
2am           -112.92085853245801
2am1aq1p1sa   -889.09871799847
2am1aq2sa     -1588.2101213158387
2am1aq3sa     -2287.6808841805077
2am1b         -811.8773409464839
2am1b1sa      -1511.374977880422
2am1b1sa1w    -1587.710931426724
2am1b1sa2w    -1664.049777787506
2am1b1sa3w    -1740.3942806617122
2am1b1sa4w    -1816.7262262922193
2am1b1sa5w    -1893.0733086027642
2am1b2sa      -2210.8722984472183
2am1b2sa1w    -2287.2037114485374
2am1b2sa2w    -2363.5507311642227
2am1b2sa3w    -2439.889271060079
2am1b2sa4w    -2516.2244833464856
2am1b2sa5w    -2592.57063977346
2am1b3sa      -2910.3542783517496
2am1b3sa1w    -2986.689683840333
2am1b3sa2w    -3063.0264158895975
2am1b4sa      -3609.8257061709924
2am1dma1p     -248.17988381479802
2am1dma1p1sa  -947.654127213727
2am1dma1p2sa  -1647.1396297425322
2am1dma1p3sa  -2346.6045880835873
2am1dma1sa    -947.2600732176641
2am1dma2sa    -1646.748196579119
2am1dma3sa    -2346.240101415379
2am1dma4sa    -3045.7073164744734
2am1p         -113.27872913207698
2am1p1sa      -812.7527494341931
2am1p2sa      -1512.2212991669032
2am1p3sa      -2211.68418874794
2am1sa        -812.393258775822
2am2aq1p1sa   -965.4469901068042
2am2aq2sa     -1664.552762996272
2am2aq3sa     -2364.0188492974053
2am2dma1p1sa  -1082.5464039223668
2am2dma1p2sa  -1782.0271443165148
2am2dma1p3sa  -2481.5154912659636
2am2dma1p4sa  -3180.986032811413
2am2dma2sa    -1781.632282284734
2am2dma3sa    -2481.1277238083926
2am2dma4sa    -3180.608183555479
2am2sa        -1511.866421352729
2am3aq2sa     -1740.8906328335488
2am3aq3sa     -2440.3603673848875
2am3sa        -2211.3389323183596
2am4aq2sa     -1817.2279343293833
2am4aq3sa     -2516.695665939418
2am4sa        -2910.8014489111915
2am5aq2sa     -1893.567523584978
2am5aq3sa     -2593.0339018854975
2am5sa        -3610.2578898705656
2aq1dma1p     -287.920838450761
2aq1dma1p1sa  -987.3799920749918
2aq2dma1p1sa  -1122.291758192119
2ca           -1302.28516613918
2ca1sa        -2001.7413401531583
2ca2sa        -2701.207145425136
2dma          -269.730529890837
2dma1msa1sa   -1632.779220407379
2dma1msa2sa   -2332.251422477594
2dma1p        -270.11245686086994
2dma1p1sa     -969.6005285056411
2dma1p2sa     -1669.0728008471958
2dma1sa       -969.210750521316
2dma2msa      -1596.8567667809668
2dma2msa1sa   -2296.3321350181745
2dma2sa       -1668.7073346289096
2dma2sa1w     -1745.0444149748319
2dma2sa2w     -1821.3838688372748
2dma2sa3w     -1897.7180510764501
2dma2sa4w     -1974.0588541026282
2dma2sa5w     -2050.3968415356885
2dma3msa      -2260.399837316047
2dma3sa       -2368.182424336348
2dma3sa1w     -2444.516473773618
2dma3sa2w     -2520.851602671031
2dma3sa3w     -2597.188571459044
2dma3sa4w     -2673.531311799125
2dma3sa5w     -2749.8718927411683
2dma4sa       -3067.644425959522
2homF         -1517.400577502457
2homF1sa      -2216.8621922066945
2homF1sa1w    -2293.2016434613465
2homF2sa      -2916.321107706268
2homF2sa1w    -2992.655942335621
2ma           -191.31781035453903
2ma1sa        -890.794578328638
2ma1sa1w      -967.1354689716409
2ma1sa2w      -1043.478839148669
2ma2sa        -1590.2805124751378
2ma2sa1w      -1666.62675334922
2ma2sa2w      -1742.9698273887798
2ma2sa3w      -1819.3064700057528
2ma2sa4w      -1895.6453387564338
2ma3sa        -2289.758124481186
2ma4sa        -2989.2224133324225
2mbtca1sa     -2223.9489912944564
2mbtca2sa     nan
2mbtca3sa     nan
2mbtca4sa     nan
2mea          -420.017035721471
2mea1sa       -1119.4975359934242
2mea1sa1w     -1195.8430265804552
2mea1sa2w     -1272.1803520324418
2mea1sa3w     -1348.517613726035
2mea1w        -496.354167215308
2mea2sa       -1818.9853078379197
2mea2sa1w     -1895.326046929615
2mea2sa2w     -1971.6687785555498
2mea2sa3w     -2048.0059371534903
2mea2w        -572.6906675033002
2mea3sa       nan
2mea3w        -649.0265032221811
2mea4sa       -3217.922199937315
2msa          -1327.0691087022872
2msa1sa       -2026.5283337628578
2pa           -1302.2877888689707
2pa1sa        -2001.753716168129
2pa2sa        -2701.220189622801
2pha          -1286.776549866328
2sa           -1398.90795503209
2sa1tma       -1569.735652399469
2sa1tma1w     -1649.3581284751308
2sa1tma2w     -1725.6949997343092
2sa1tma3w     -1802.0319311611408
2sa1w         -1475.2490575337672
2sa2tma       -1747.121015030602
2sa2tma1w     -1823.4530692486558
2sa2tma2w     -1899.79335582879
2sa2tma3w     -1976.1253957763822
2sa2w         -1551.591048829117
2sa3w         -1627.929624920815
2sa4w         -1704.266354108586
2sa5w         -1780.6077829273588
3am           -169.37662299159402
3am1aq3sa     -2344.1582599678127
3am1b3sa      -2966.829539740746
3am1b4sa      -3666.3126018992834
3am1dma1p2sa  -1703.6071373480822
3am1dma1p3sa  -2403.09034802518
3am1dma1p4sa  -3102.555260189452
3am1dma2sa    -1703.2106774180354
3am1dma3sa    -2402.706428980295
3am1dma4sa    -3102.1898692169357
3am1p         -169.75608978872404
3am1p1sa      -869.2291810435369
3am1p2sa      -1568.714496359865
3am1p3sa      -2268.1787282073265
3am1p4sa      -2967.643617876522
3am1sa        -868.8532163210532
3am2aq3sa     -2420.5011091540428
3am2sa        -1568.3361565341938
3am3aq3sa     -2496.831611449294
3am3sa        -2267.820166674415
3am4aq3sa     -2573.1766853922036
3am4sa        -2967.2858427933093
3am5sa        -3666.758373567873
3aq1dma1p     -364.25961712784704
3dma          -404.592576671737
3dma1msa2sa   -2467.149741341525
3dma1p        -404.994547546912
3dma1p1sa     -1104.4914188613363
3dma1p2sa     -1803.983647773159
3dma1p3sa     -2503.4482511158417
3dma1p4sa     -3202.9127546953905
3dma1sa       -1104.085893514369
3dma2sa       -1803.5879240656132
3dma3sa       -2503.077681600346
3dma3sa1w     -2579.4129024245412
3dma3sa2w     -2655.7539346381964
3dma3sa3w     -2732.085997618614
3dma3sa4w     -2808.4301950777226
3dma4sa       -3202.544445187403
3ma           -286.97630404847797
3ma1sa        -986.462130218874
3ma2sa        -1685.9524943194542
3ma3sa        -2385.444178058955
3ma4sa        -3084.9128559573614
3mbtca1sa     nan
3mbtca2sa     nan
3mbtca3sa     nan
3mea          -630.024724209624
3mea1sa       -1329.5166034208012
3mea2sa       -2029.0074429699089
3mea3sa       -2728.492673629385
3mea4sa       -3427.966318459123
3msa          -1990.600029069335
3sa           -2098.3641103292266
3sa1tma       -2272.4819460946896
3sa1w         -2174.7056622908785
3sa2w         -2251.045314013355
3sa3w         -2327.3899725157144
3sa4w         -2398.915732244055
3sa5w         -2480.0698576029554
4am           -225.832317113203
4am1b4sa      -3722.7725731351215
4am1p2sa      -1625.1909935621452
4am1p3sa      -2324.6679893714645
4am1p4sa      -3024.1332248431167
4am1sa        -925.3173032274971
4am2sa        -1624.80272328168
4am3sa        -2324.289598354439
4am4sa        -3023.7713260475243
4am5sa        -3723.2355036060044
4dma          -539.460928788597
4dma1p2sa     nan
4dma1p3sa     -2638.358105368516
4dma1p4sa     -3337.8190248470846
4dma1sa       -1238.9531704737828
4dma2sa       -1938.4638578438694
4dma3sa       -2637.960431202703
4dma4sa       -3337.4444081356874
4ma           -382.633397099059
4ma1sa        -1082.1264600948232
4ma2sa        -1781.6229206807952
4ma3sa        -2481.121084994777
4ma4sa        -3180.6064135320353
4mea          -840.0319561902679
4mea1sa       -1539.5342196155898
4mea2sa       -2239.0266441265903
4mea3sa       -2938.5207587175123
4mea4sa       -3638.004617041427
4sa           -2797.8252534539315
4sa1w         -2874.1669598528765
4sa2w         -2950.5036483935423
4sa3w         -3026.849767674892
4sa4w         -3103.183205663878
4sa5w         -3179.5272263846746
5am1p3sa      -2381.141886530592
5am1p4sa      -3080.6171368334453
5am1p5sa      -3780.083312174026
5am4sa        -3080.235769165944
5am5sa        -3779.726208978373
5dma1p4sa     -3472.7287725781985
5dma4sa       -3472.329748732248
5sa           -3497.286764932484
