{24.579,31.021,57.352,100.12,113.006,131.26,154.272,213.3,230.914,242.15,342.098,431.228,527.984,545.077,578.194,671.961,837.368,846.196,992.159,1065.678,1160.064,1193.605,1330.222,1416.163,1481.563,1491.714,1709.383,1727.629,1744.405,1797.108,2991.565,3073.953,3135.804,3331.48,3421.035,3546.349,3562.074,3672.402,3807.77}	{24.579,31.021,31.287989999999986,45.709965000000004,64.613465,99.47618,137.58834,148.8299,207.16342999999998,246.99857,342.098,402.580435,471.64849,525.309165,598.230155,630.329995,827.2749550000001,768.718955,975.35543,1030.9441250000002,1019.6104350000002,1157.641395,1184.04114,1460.027245,1438.8329350000001,1567.846885,2006.6344,1668.58855,1687.789225,1765.1403699999998,2985.040985,2923.45296,2970.289505,3094.72301,3555.41945,3375.699535,3388.64073,3470.3717500000002,3647.774985}
{34.74,57.538,62.72,86.087,99.51,107.081,109.974,128.558,145.77,152.27,213.415,260.441,310.199,386.972,400.106,418.598,431.087,448.49,476.259,593.316,634.263,653.868,874.487,1022.562,1063.953,1166.489,1221.172,1274.808,1391.795,1478.807,1485.718,1520.082,1693.504,1703.714,1716.807,1735.961,1753.661,2582.4,3017.998,3092.365,3128.456,3429.766,3558.77,3571.275,3621.996,3644.807,3771.792,3816.692}	{78.142695,84.56785499999998,223.64089500000006,317.16042000000004,110.18663500000001,212.60380999999995,99.25845999999999,123.99340499999998,114.68503000000001,102.17720500000001,241.184795,267.61760999999996,247.516565,454.89970000000005,289.96358999999995,330.082205,481.68933999999996,396.802325,475.59094,552.88149,580.613635,512.5336850000001,778.61826,980.8164,1027.054785,1180.04991,1098.75633,1255.134835,1343.347085,1416.25501,1437.0833400000001,1465.4929750000001,1831.35045,1655.143635,1453.009525,1824.803325,1713.654725,1966.63661,2942.62726,2952.812635,3026.340385,3348.74985,3435.70867,3400.8185000000003,3240.741715,3248.1921399999997,3620.574875,3555.55609}
{45.521,60.886,71.053,88.133,96.462,113.017,149.904,163.287,192.211,195.609,229.147,268.774,331.036,416.073,438.958,463.048,489.567,546.203,580.773,603.091,644.096,690.959,879.793,1019.681,1062.776,1220.315,1281.529,1294.374,1394.16,1475.367,1484.051,1541.501,1689.489,1704.879,1725.341,1743.693,1758.571,2278.2,3017.45,3084.1,3134.11,3294.02,3497.919,3568.11,3591.832,3615.635,3718.196,3820.744}	{1121.1992449999998,157.254185,501.6716900000001,88.133,92.40362499999998,111.77389000000001,125.52430000000001,220.05802000000003,111.37242000000002,174.22584,186.88921999999997,287.216835,312.92919,306.213615,386.07478000000003,627.73823,477.904115,501.76165999999995,486.16756,488.239985,550.87889,667.0448399999999,868.4925,1295.62297,860.6992950000001,1129.228055,1351.44207,1332.4382600000001,1369.43532,1456.308285,1530.920275,1625.395925,1607.5116,1694.0214449999999,1735.6516849999998,1689.88807,1702.0103199999999,1765.6005149999999,3327.1902649999997,3250.67782,3240.264235,3070.7295,3302.589255,3415.11241,3444.2201,3454.3969700000002,3555.4087,3600.11807}
{48.988,57.12,72.928,109.832,115.027,150.354,155.575,180.444,184.241,197.1,220.379,258.943,276.5,363.051,380.245,443.48,472.181,512.918,584.178,624.15,719.759,869.668,887.463,1016.578,1062.376,1096.542,1209.316,1299.756,1391.242,1468.412,1490.637,1492.9,1699.272,1719.382,1729.466,1741.691,1749.936,2782.367,3014.804,3083.227,3129.422,3341.054,3376.785,3503.871,3518.102,3569.235,3797.443,3817.365}	{48.988,20.817384999999987,83.22529,121.924815,145.4222,77.63227000000003,126.77129999999998,152.42234,138.04354,147.615355,207.75911000000002,238.19959499999996,276.5,336.025845,363.043345,443.48,498.25392999999997,474.828365,557.239545,609.054295,719.759,721.51475,827.940205,1019.1926,1033.8805849999999,987.8382549999999,1131.899345,1250.8499450000002,1346.304685,1415.63733,1497.48621,1436.274325,1658.503685,1694.697425,1681.0821199999998,1740.366665,1700.91625,2367.73149,2916.327255,2936.9602099999997,2971.42297,3143.2111600000003,3166.99293,3325.413275,3348.170315,3396.391955,3463.1297950000003,3622.0776699999997}
{27.319,35.02,41.555,87.851,95.68,114.085,165.88,181.966,210.354,234.318,260.078,281.729,285.429,394.076,445.584,454.398,498.704,523.38,600.62,640.769,749.377,856.524,898.853,1029.761,1060.22,1251.35,1270.744,1331.67,1396.553,1473.619,1483.383,1534.615,1682.192,1695.656,1712.522,1736.748,1752.088,2274.619,3020.809,3083.96,3133.804,3337.184,3354.151,3465.593,3497.165,3559.162,3808.95,3816.058}	{155.04946500000005,10.967370000000006,5.524760000000008,87.851,20.58952500000001,114.085,71.16417000000003,74.34613000000002,197.327685,143.51077499999997,187.551015,254.719205,192.20041999999995,323.92458500000004,410.56316499999997,485.17550500000004,463.041,514.08138,582.5273,602.41865,721.8172599999999,749.73693,894.06598,998.591655,1045.963985,1221.66597,1174.384075,1303.701285,1362.386365,1428.4731399999998,1414.09324,1506.56456,1604.906195,1489.07991,2129.59071,1680.229985,2169.787645,1424.5546350000002,2875.8151300000004,2914.25601,2955.40548,3098.49953,3164.5088849999997,4321.277384999999,3342.416945,3379.119635,3612.3914099999997,3623.24305}
{48.95,57.122,72.903,109.826,115.05,150.328,155.532,180.447,184.218,197.089,220.381,258.97,276.545,363.095,380.243,443.469,472.185,512.896,584.172,624.159,719.865,869.697,887.485,1016.585,1062.37,1096.52,1209.308,1299.777,1391.239,1468.412,1490.64,1492.898,1699.268,1719.379,1729.462,1741.696,1749.932,2782.319,3014.807,3083.223,3129.432,3341.05,3376.789,3503.824,3518.108,3569.236,3797.452,3817.365}	{48.95,16.20058000000001,84.25411500000001,119.89274499999999,145.27264,80.66132,127.74747,151.77242500000003,137.91231,147.57954,207.44631,234.89164000000002,276.545,326.57407500000005,361.24513,443.469,496.377955,473.01056499999993,557.303035,612.621965,719.865,723.734775,824.948265,1019.852215,1033.95951,991.0897649999999,1132.526605,1249.3885400000001,1346.190495,1416.12374,1498.048585,1436.5245499999999,1658.419045,1693.0243349999998,1679.62695,1739.1753299999998,1700.292695,2368.06331,2915.93857,2936.985855,2971.3161899999996,3142.8529900000003,3166.6513350000005,3321.811335,3348.1874150000003,3396.4287649999997,3457.8937100000003,3621.6868849999996}
{14.62,30.019,39.847,57.619,75.348,93.288,120.774,131.765,152.401,153.337,205.198,224.131,255.339,274.868,310.034,319.606,362.719,408.269,457.927,530.231,553.118,589.057,609.717,623.978,655.373,838.916,877.732,1002.916,1019.918,1059.375,1075.798,1137.409,1202.916,1283.107,1391.472,1453.993,1478.576,1484.51,1702.818,1723.349,1724.979,1739.953,1746.369,1755.664,2835.675,3018.925,3020.83,3086.426,3137.458,3148.719,3367.18,3417.961,3534.953,3560.246,3599.45,3803.103,3803.121}	{552.0447050000001,537.78673,39.847,13.930005000000001,75.348,96.62106500000004,287.42922999999996,131.765,273.62346,436.36131499999993,205.198,157.10890500000002,1548.7281850000008,1572.2253499999997,171.30399,383.499235,318.443425,267.45048499999996,324.490725,2615.850125,325.529185,583.93902,609.717,623.978,655.373,644.1639500000001,803.600155,702.212045,924.64455,877.901125,762.5897300000001,135.32372000000032,981.386215,1052.027685,1231.349975,1289.01357,1589.9175,1440.31005,1658.57419,1572.43499,1400.7189,1567.068725,1482.60646,1575.579245,2343.576615,2631.3459300000004,2685.05726,2934.298565,2872.6916850000002,2704.7329250000003,3855.602455,3211.125055,3323.627665,3330.317545,2320.5013549999994,3499.66487,3550.39915}
{15.874,33.793,40.441,59.202,66.569,88.405,95.46,128.268,154.404,169.304,175.554,195.726,211.889,248.501,260.468,331.399,393.237,411.796,442.392,449.494,480.001,580.228,599.542,629.613,638.697,666.651,754.512,888.269,991.457,1023.489,1061.543,1203.366,1226.712,1301.206,1395.707,1472.621,1482.664,1513.506,1695.607,1711.578,1719.141,1719.671,1738.967,1749.509,2511.276,3021.347,3082.634,3138.935,3401.905,3412.545,3511.474,3519.33,3536.833,3565.458,3591.038,3776.924,3809.659}	{15.874,33.793,40.441,55.053844999999995,101.45057499999999,124.222475,111.09495499999998,130.87598500000001,105.71101999999999,165.71887,153.362355,179.34838,202.36540000000002,248.501,91.75819500000011,253.3089,329.02394000000004,386.44973500000003,352.17863,305.43614499999995,471.08732,500.70044999999993,580.0291050000001,489.2423500000001,608.181775,505.7551249999999,806.9144999999999,856.158645,911.1618799999999,878.159455,1039.5760899999998,1206.80851,1196.4583499999999,1272.300865,1356.63596,1152.932335,1432.157845,1458.990205,1699.64608,1655.334245,1659.72898,1660.57674,1603.012345,2052.940955,1671.1166899999998,2896.4047,2944.938795,2979.2762,3158.810405,3179.870305,3435.0585950000004,3382.30478,3361.523335,3381.351035,3407.899465,3537.073335,3656.20244}
{38.146,47.099,59.324,67.298,67.879,74.137,98.34,196.351,223.515,251.925,261.193,291.139,314.417,331.503,335.586,388.822,442.14,457.831,472.511,508.834,554.454,564.418,620.974,646.304,695.449,887.247,907.094,965.736,999.822,1028.182,1061.932,1360.304,1403.209,1444.281,1468.981,1486.42,1522.804,1589.607,1651.189,1723.743,1740.965,1748.669,1784.997,1812.947,2789.206,2866.323,2969.975,3008.98,3009.545,3070.61,3073.521,3115.698,3207.58,3545.271,3790.054,3805.453,3806.283}	{50.756405,28.051349999999996,75.711525,46.56331999999999,78.08037,112.232425,104.046035,134.99357499999996,163.78927499999998,234.93806,241.15889499999997,253.25963000000002,280.97568499999994,317.45880999999997,288.192105,353.740295,415.867265,441.32337,456.24713,468.71707000000004,490.53727,546.911875,621.9640750000001,642.3148249999999,660.9168249999999,834.14289,880.2837350000001,817.152735,959.6895,1014.141985,1044.10426,1323.354035,1349.849165,1413.166965,1423.95615,1446.94137,1491.6302600000001,1539.3681649999999,1576.14202,1672.155045,1693.064895,1678.27238,1713.8997100000001,1730.2984199999999,2428.3367850000004,2618.044795,2608.00454,2700.73159,2825.6138300000002,2718.10142,2866.619575,2960.024265,2919.95067,3375.325795,3607.304165,3597.09341,3617.38954}
{15.772,33.731,40.445,59.16,66.508,88.354,95.458,128.273,154.482,169.265,175.592,195.748,211.867,248.504,260.448,331.376,393.334,411.765,442.535,449.504,480.004,580.251,599.526,629.769,638.721,666.803,754.461,888.261,991.647,1023.485,1061.542,1203.269,1226.649,1301.19,1395.701,1472.62,1482.674,1513.515,1695.616,1711.589,1719.152,1719.714,1738.989,1749.501,2511.282,3021.347,3082.654,3138.918,3401.9,3412.546,3511.245,3519.348,3536.84,3565.46,3590.956,3776.916,3809.666}	{15.772,33.731,40.445,54.331689999999995,97.39312999999999,124.01655500000001,97.33756500000001,132.23165,96.47319499999998,163.251205,147.432075,177.666305,175.13391999999996,248.504,84.30085499999998,252.90459499999997,322.17781,379.1712,351.35789,307.59394000000003,466.63463500000006,491.92867499999994,578.7105799999999,489.837885,607.0182149999999,495.10303,816.245595,855.47218,872.532195,879.85675,1039.3063,1157.783055,1197.7359549999999,1270.5846000000001,1355.224655,1159.8026100000002,1431.96653,1457.8172100000002,1695.168395,1647.75614,1655.830265,1659.5376199999998,1604.647945,2067.025,1675.188695,2895.71387,2944.84802,2979.076275,3161.481995,3182.434315,3412.4689799999996,3369.116465,3360.13727,3381.89583,3407.42457,3538.6861900000004,3638.0576650000003}
