Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
      components                                                            [msa, nta, am, dma]
      file_basename                                                        1msa1nta1am1dma-30_1
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_IV/GF...
1msa1nta1am1dma-33_1    -55.75834739915
1msa1nta1am1dma-50_1    -55.74312724346
1msa1nta1am1dma-62_3    -55.7168358899 
1msa1nta1am1dma-7_5     -55.76192688647
1msa1nta1am1dma-12_8    -55.74775786813
1msa1nta1am1dma-34_5    -55.74498818984
1msa1nta1am1dma-58_11   -55.72530056865
1msa1nta1am1dma-65_9    -55.71758012962
1msa1nta1am1dma-15_2    -55.73853472982
1msa1nta1am1dma-18_11   -55.74224889239
1msa1nta1am1dma-43_4    -55.73677643916
1msa1nta1am1dma-26_10   -55.74668452132
1msa1nta1am1dma-15_5    -55.74469361897
1msa1nta1am1dma-27_7    -55.73568370447
1msa1nta1am1dma-48_7    -55.73999003134
1msa1nta1am1dma-43_3    -55.74057309931
1msa1nta1am1dma-33_8    -55.74612069495
1msa1nta1am1dma-50_6    -55.71359430737
1msa1nta1am1dma-43_11   -55.72921392287
1msa1nta1am1dma-62_4    -55.72632637226
1msa1nta1am1dma-7_2     -55.7712023819 
1msa1nta1am1dma-44_9    -55.74037723476
1msa1nta1am1dma-34_2    -55.74332756445
1msa1nta1am1dma-66_10   -55.72899149475
1msa1nta1am1dma-36_4    -55.73971453319
1msa1nta1am1dma-59_4    -55.72450137313
1msa1nta1am1dma-4_10    -55.76961764271
1msa1nta1am1dma-10_9    -55.76929139435
1msa1nta1am1dma-60_2    -55.72238541303
1msa1nta1am1dma-5_4     -55.77198023553
1msa1nta1am1dma-51_10   -55.72356747995
1msa1nta1am1dma-41_5    -55.7284133112 
1msa1nta1am1dma-11_10   -55.7716058825 
1msa1nta1am1dma-25_1    -55.77852601137
