Number of files in database_s1.pkl: 30538
Number of files in database_s2.pkl: 30538
Example output:
info  cluster_type                                                              1am1dma1msa1nta
      component_ratio                                                              [1, 1, 1, 1]
1msa1nta1am1dma-32_1    -1136.871294678892
1msa1nta1am1dma-21_4    -1136.835236176899
1msa1nta1am1dma-18_2    -1136.83971471395 
1msa1nta1am1dma-13_6    -1136.830846243578
1msa1nta1am1dma-48_11   -1136.82920781682 
1msa1nta1am1dma-21_3    -1136.845154065864
1msa1nta1am1dma-51_8    -1136.82554705027 
1msa1nta1am1dma-53_11   -1136.816152246521
1msa1nta1am1dma-18_5    -1136.824619640012
1msa1nta1am1dma-13_1    -1136.884802192377
1msa1nta1am1dma-45_7    -1136.827481409766
1msa1nta1am1dma-36_10   -1136.837169402945
1msa1nta1am1dma-26_9    -1136.854610690876
1msa1nta1am1dma-56_2    -1136.8080658915  
1msa1nta1am1dma-1_1     -1136.89628529068 
1msa1nta1am1dma-49_9    -1136.814929052553
1msa1nta1am1dma-39_2    -1136.831142171722
1msa1nta1am1dma-13_11   -1136.844599895295
1msa1nta1am1dma-32_6    -1136.84211677222 
1msa1nta1am1dma-51_6    -1136.808033764879
1msa1nta1am1dma-6_5     -1136.840982233711
1msa1nta1am1dma-63_4    -1136.820341230616
1msa1nta1am1dma-45_11   -1136.829707947866
1msa1nta1am1dma-45_9    -1136.829157540343
1msa1nta1am1dma-35_2    -1136.826087202277
1msa1nta1am1dma-60_10   -1136.814099351648
1msa1nta1am1dma-14_5    -1136.853751673996
1msa1nta1am1dma-20_10   -1136.836974928198
1msa1nta1am1dma-26_7    -1136.851602533878
1msa1nta1am1dma-49_7    -1136.824970232884
1msa1nta1am1dma-42_3    -1136.830896198734
1msa1nta1am1dma-32_8    -1136.839449737793
1msa1nta1am1dma-14_2    -1136.848391897801
1msa1nta1am1dma-1_8     -1136.864059221723
1msa1nta1am1dma-42_4    -1136.832646402259
1msa1nta1am1dma-6_2     -1136.850902337588
1msa1nta1am1dma-51_1    -1136.858141608325
1msa1nta1am1dma-63_3    -1136.825963856779
1msa1nta1am1dma-13_8    -1136.835837452569
1msa1nta1am1dma-35_5    -1136.830300514252
1msa1nta1am1dma-37_3    -1136.829100149151
1msa1nta1am1dma-47_8    -1136.823795158694
1msa1nta1am1dma-58_3    -1136.819477855099
1msa1nta1am1dma-28_8    -1136.84320461457 
1msa1nta1am1dma-61_5    -1136.817290650778
1msa1nta1am1dma-4_4     -1136.839036501983
1msa1nta1am1dma-53_7    -1136.813755267649
1msa1nta1am1dma-30_9    -1136.82753015602 
1msa1nta1am1dma-40_2    -1136.828585506614
1msa1nta1am1dma-6_10    -1136.85513093793 
1msa1nta1am1dma-29_11   -1136.851342957803
1msa1nta1am1dma-24_6    -1136.841700676856
1msa1nta1am1dma-16_4    -1136.81950714631 
1msa1nta1am1dma-40_5    -1136.840252746059
1msa1nta1am1dma-17_10   -1136.828526728307
1msa1nta1am1dma-24_1    -1136.882656574556
1msa1nta1am1dma-3_9     -1136.860158823757
1msa1nta1am1dma-32_11   -1136.834702888991
1msa1nta1am1dma-16_3    -1136.825296665793
1msa1nta1am1dma-66_8    -1136.824220755076
1msa1nta1am1dma-37_4    -1136.832224690598
1msa1nta1am1dma-58_4    -1136.81649141291 
1msa1nta1am1dma-57_10   -1136.816913890721
1msa1nta1am1dma-11_9    -1136.865263917556
1msa1nta1am1dma-61_2    -1136.820865988262
1msa1nta1am1dma-4_3     -1136.860207191934
1msa1nta1am1dma-54_4    -1136.81384629862 
1msa1nta1am1dma-3_7     -1136.860023460406
1msa1nta1am1dma-66_6    -1136.81827473035 
1msa1nta1am1dma-24_11   -1136.842855506316
1msa1nta1am1dma-8_3     -1136.859962754524
1msa1nta1am1dma-47_1    -1136.868412307004
1msa1nta1am1dma-28_1    -1136.880443020452
1msa1nta1am1dma-11_7    -1136.856539653238
1msa1nta1am1dma-41_10   -1136.833213277928
1msa1nta1am1dma-23_5    -1136.833946088522
1msa1nta1am1dma-47_6    -1136.837993526597
1msa1nta1am1dma-28_6    -1136.842813309015
1msa1nta1am1dma-53_9    -1136.804684187871
1msa1nta1am1dma-23_2    -1136.82257857675 
1msa1nta1am1dma-30_7    -1136.828214845191
1msa1nta1am1dma-54_3    -1136.82326123584 
1msa1nta1am1dma-24_8    -1136.845420707039
1msa1nta1am1dma-66_1    -1136.851912791977
1msa1nta1am1dma-8_4     -1136.857661111659
1msa1nta1am1dma-12_6    -1136.850604250161
1msa1nta1am1dma-19_2    -1136.842295885602
1msa1nta1am1dma-11_11   -1136.861886325235
1msa1nta1am1dma-20_4    -1136.846939882592
1msa1nta1am1dma-34_10   -1136.840497403365
1msa1nta1am1dma-57_5    -1136.809923475788
1msa1nta1am1dma-65_7    -1136.813070233922
1msa1nta1am1dma-33_1    -1136.872140578007
1msa1nta1am1dma-38_5    -1136.841528244875
1msa1nta1am1dma-51_11   -1136.814318369786
1msa1nta1am1dma-57_2    -1136.812754767549
