Number of files in database_s1.pkl: 18835
Number of files in database_s2.pkl: 18834
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-5
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_III/G...
1sa1msa1am1dma-20_6    -61.52445396391
1sa1msa1am1dma-134_3   -61.48176276042
1sa1msa1am1dma-63_11   -61.51880719031
1sa1msa1am1dma-4_8     -61.55023461307
1sa1msa1am1dma-33_3    -61.51969699422
1sa1msa1am1dma-43_8    -61.53058775586
1sa1msa1am1dma-127_6   -61.47754526221
1sa1msa1am1dma-38_7    -61.50481267864
1sa1msa1am1dma-115_4   -61.49948988062
1sa1msa1am1dma-46_10   -61.52832592276
1sa1msa1am1dma-93_1    -61.53423841413
1sa1msa1am1dma-57_7    -61.51882437651
1sa1msa1am1dma-133_9   -61.48105208892
1sa1msa1am1dma-98_5    -61.50474213641
1sa1msa1am1dma-128_10  -61.52828515983
1sa1msa1am1dma-65_5    -61.52533212015
1sa1msa1am1dma-133_10  -61.47266872625
1sa1msa1am1dma-87_9    -61.51383865443
1sa1msa1am1dma-33_4    -61.51976621462
1sa1msa1am1dma-127_1   -61.51021749058
1sa1msa1am1dma-115_3   -61.49956201536
1sa1msa1am1dma-116_11  -61.48754256439
1sa1msa1am1dma-93_6    -61.51284787475
1sa1msa1am1dma-78_11   -61.54013941174
1sa1msa1am1dma-15_9    -61.54376401621
1sa1msa1am1dma-98_2    -61.50051335101
1sa1msa1am1dma-65_2    -61.49958899092
1sa1msa1am1dma-112_9   -61.51063358857
1sa1msa1am1dma-76_7    -61.53468215528
1sa1msa1am1dma-8_1     -61.56893623937
1sa1msa1am1dma-3_5     -61.55676168765
1sa1msa1am1dma-86_10   -61.53735280777
1sa1msa1am1dma-38_11   -61.50670038111
1sa1msa1am1dma-44_5    -61.52466475721
1sa1msa1am1dma-80_3    -61.51349813409
1sa1msa1am1dma-12_3    -61.55465653834
1sa1msa1am1dma-106_6   -61.51152101943
1sa1msa1am1dma-62_8    -61.52795664933
1sa1msa1am1dma-20_1    -61.54634934589
1sa1msa1am1dma-134_4   -61.48902240183
1sa1msa1am1dma-19_7    -61.55433240733
1sa1msa1am1dma-136_2   -61.49271005819
1sa1msa1am1dma-22_7    -61.52683145628
1sa1msa1am1dma-29_3    -61.51751775883
1sa1msa1am1dma-59_8    -61.52270885986
1sa1msa1am1dma-10_5    -61.54157830233
1sa1msa1am1dma-82_5    -61.51977525121
1sa1msa1am1dma-46_3    -61.52182107253
1sa1msa1am1dma-1_3     -61.54432820499
1sa1msa1am1dma-36_8    -61.52318737361
1sa1msa1am1dma-94_11   -61.52432394915
1sa1msa1am1dma-129_9   -61.48863582769
1sa1msa1am1dma-74_1    -61.5404607129 
1sa1msa1am1dma-89_1    -61.53606289128
1sa1msa1am1dma-67_4    -61.51687078714
1sa1msa1am1dma-55_6    -61.52382174826
1sa1msa1am1dma-131_8   -61.49682042013
1sa1msa1am1dma-104_10  -61.49870993706
1sa1msa1am1dma-117_5   -61.49139719718
1sa1msa1am1dma-41_9    -61.52884075451
1sa1msa1am1dma-125_7   -61.47796837622
1sa1msa1am1dma-31_2    -61.53062519001
1sa1msa1am1dma-6_9     -61.55450394714
1sa1msa1am1dma-121_11  -61.49372507024
1sa1msa1am1dma-67_3    -61.51860948541
1sa1msa1am1dma-17_8    -61.53551457136
1sa1msa1am1dma-55_1    -61.54241311815
1sa1msa1am1dma-54_11   -61.52223822675
1sa1msa1am1dma-91_7    -61.51824496705
1sa1msa1am1dma-108_9   -61.5021272421 
1sa1msa1am1dma-117_2   -61.48476620806
1sa1msa1am1dma-31_5    -61.51916722612
1sa1msa1am1dma-71_10   -61.50509455266
1sa1msa1am1dma-85_8    -61.50827258717
1sa1msa1am1dma-78_8    -61.54217820266
1sa1msa1am1dma-136_5   -61.48154889241
1sa1msa1am1dma-29_4    -61.52878015702
1sa1msa1am1dma-31_10   -61.52545071629
1sa1msa1am1dma-3_10    -61.54631611737
1sa1msa1am1dma-104_7   -61.51282017688
1sa1msa1am1dma-60_9    -61.51453236576
1sa1msa1am1dma-10_2    -61.53522660702
1sa1msa1am1dma-82_2    -61.51989268668
1sa1msa1am1dma-46_4    -61.52759077235
1sa1msa1am1dma-1_4     -61.53308884199
1sa1msa1am1dma-14_11   -61.54673055045
1sa1msa1am1dma-110_8   -61.5026192172 
1sa1msa1am1dma-74_6    -61.53313482668
1sa1msa1am1dma-89_6    -61.52002608478
1sa1msa1am1dma-17_6    -61.54107286736
1sa1msa1am1dma-103_3   -61.49676807   
1sa1msa1am1dma-42_11   -61.52437136078
1sa1msa1am1dma-25_4    -61.52566175907
1sa1msa1am1dma-131_1   -61.50803617327
1sa1msa1am1dma-108_7   -61.5263216351 
1sa1msa1am1dma-91_9    -61.51335202167
1sa1msa1am1dma-73_2    -61.4993517729 
1sa1msa1am1dma-67_10   -61.51809157551
1sa1msa1am1dma-109_10  -61.50600724045
1sa1msa1am1dma-78_6    -61.52967291463
1sa1msa1am1dma-85_6    -61.51269111294
