filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  G(Eh)                H(Eh)                S(Eh/K)
2am2cha1sa-12000002_3_612-str67         2am2cha1sa                             -2336.904028742646   -2336.799904964754   0.0003492328622905651
2am2mbtca1sa-10200002_4_393-str25       2am2mbtca1sa                           -2336.897233957115   -2336.7888388910783  0.00036355883292647914
2am2pdpe1sa-10020002_3_254-str58        2am2pdpe1sa                            -3338.5845599789313  -3338.4348512412557  0.0005021255665809288
2cha1dma2sa-22000100_5_771-str7         2cha1dma2sa                            -3058.3230472611053  -3058.205120150454   0.00039552946722010016
2cha1ma2sa-22000010_3_434-str32         2cha1ma2sa                             -3019.1160030512597  -3019.001429835607   0.0003842804482740408
2cha1sa2tma-12002000_3_181-str15        2cha1sa2tma                            -2572.152127233791   -2572.032019831115   0.000402842202501556
2cha2dma1sa-12000200_3_260-str5         2cha2dma1sa                            -2493.743733646874   -2493.6280058687025  0.00038815286993401887
2cha2ma1sa-12000020_3_436-str13         2cha2ma1sa                             -2415.3242066614907  -2415.2124606509838  0.0003747979557501725
2cha2sa1tma-22001000_4_115-str7         2cha2sa1tma                            -3097.5283160118606  -3097.407555521402   0.0004050326696577366
2dma2mbtca1sa-10200200_3_451-str22      2dma2mbtca1sa                          -2493.728643183222   -2493.610231727814   0.00039715396749199014
2dma2pdpe1sa-10020200_3_541-str70       2dma2pdpe1sa                           -3495.416769611615   -3495.2557952006914  0.0005399108198014576
2ma2mbtca1sa-10200020_3_892-str17       2ma2mbtca1sa                           -2415.3173215506768  -2415.203836453469   0.0003806308811260055
2ma2pdpe1sa-10020020_4_553-str4         2ma2pdpe1sa                            -3417.006527723459   -3416.851290011443   0.000520669837384665
2mbtca1sa2tma-10202000_1_268-str31      2mbtca1sa2tma                          -2572.139322313047   -2572.0169297069297  0.00041050681239903204
2mbtca2sa1tma-20201000_3_528-str29      2mbtca2sa1tma                          -3097.5234660708793  -3097.4030890160084  0.0004037466203947764
2pdpe1sa2tma-10022000_1_362-str46       2pdpe1sa2tma                           -3573.827961456106   -3573.663702986818   0.0005509256055275532
2pdpe2sa1tma-20021000_4_719-str42       2pdpe2sa1tma                           -4099.204809050006   -4099.040867267312   0.0005498634334822429
2sa1cha1dma1am-21000101_5_852-str4      1am1cha1dma2sa                         -2352.5517129000546  -2352.4548590022114  0.00032484956512951306
2sa1cha1ma1am-21000011_5_384-str7       1am1cha1ma2sa                          -2313.342255277974   -2313.2478156636607  0.00031675201849367014
2sa1cha1tma1am-21001001_5_656-str60     1am1cha2sa1tma                         -2391.7561328914835  -2391.659788348522   0.00032314118048415793
2sa1mbtca1dma1am-20100101_2_771-str38   1am1dma1mbtca2sa                       -2352.5470409327513  -2352.45334279756    0.0003142650853325157
2sa1pdpe1dma1am-20010101_5_557-str34    1am1dma1pdpe2sa                        -2853.3867217975235  -2853.27075028009    0.00038897037542907307
2sa1mbtca1ma1am-20100011_9_132-str24    1am1ma1mbtca2sa                        -2313.333653529285   -2313.241465461056   0.0003092002959210798
2sa1pdpe1ma1am-20010011_10_764-str54    1am1ma1pdpe2sa                         -2814.1797991350445  -2814.0667513117473  0.00037916425724254696
2sa1mbtca1tma1am-20101001_9_172-str33   1am1mbtca2sa1tma                       -2391.7538952124128  -2391.6569658228977  0.00032510276543474257
2sa1pdpe1tma1am-20011001_5_829-str60    1am1pdpe2sa1tma                        -2892.592844178724   -2892.4756073025214  0.0003932144095359686
2sa1cha1dma1ma-21000110_5_804-str95     1cha1dma1ma2sa                         -2391.7611418373262  -2391.6616280100216  0.00033377101225622735
2sa1cha1tma1dma-21001100_9_695-str43    1cha1dma2sa1tma                        -2470.170145833473   -2470.0697092473138  0.00033686596062136327
2sa1cha1tma1ma-21001010_5_577-str95     1cha1ma2sa1tma                         -2430.9661350220863  -2430.865857067012   0.00033633390935658094
2sa1cha2dma-21000200_7_659-str57        1cha2dma2sa                            -2430.9677090317955  -2430.866755776189   0.0003385988784363636
2sa1cha2ma-21000020_4_277-str62         1cha2ma2sa                             -2352.5503330179863  -2352.453844953967   0.0003236225524715137
2sa1cha2tma-21002000_4_871-str13        1cha2sa2tma                            -2509.3783602391936  -2509.275372504582   0.00034542255445693817
2sa1mbtca1dma1ma-20100110_4_774-str5    1dma1ma1mbtca2sa                       -2391.7587912759172  -2391.659092891049   0.00033439002135915143
2sa1pdpe1dma1ma-20010110_9_333-str2     1dma1ma1pdpe2sa                        -2892.599109060494   -2892.480982367827   0.000396198868579005
2sa1mbtca1tma1dma-20101100_1_850-str88  1dma1mbtca2sa1tma                      -2470.1682597655654  -2470.0647704946205  0.00034710471556117855
2sa1pdpe1tma1dma-20011100_6_704-str18   1dma1pdpe2sa1tma                       -2971.0133988092784  -2970.8904518137906  0.0004123662434624525
2sa1mbtca1tma1ma-20101010_4_472-str70   1ma1mbtca2sa1tma                       -2430.9591232126913  -2430.858503886345   0.00033747887421268065
2sa1pdpe1tma1ma-20011010_9_813-str52    1ma1pdpe2sa1tma                        -2931.801502487132   -2931.681255958728   0.0004033088324804364
2sa1mbtca2tma-20102000_1_923-str21      1mbtca2sa2tma                          -2509.371817539431   -2509.2666798399255  0.00035263357204725373
2sa1pdpe2tma-20012000_7_457-str37       1pdpe2sa2tma                           -3010.216807913542   -3010.091227036854   0.000421200324292919
2sa1cha2am-21000002_7_398-str28         2am1cha2sa                             -2274.1339279719505  -2274.0437188727165  0.00030256280139070654
2sa1mbtca2am-20100002_2_762-str40       2am1mbtca2sa                           -2274.1279506898363  -2274.0395442702365  0.0002965165842705916
2sa1pdpe2am-20010002_7_967-str53        2am1pdpe2sa                            -2774.9707674958627  -2774.8601197151656  0.00037111447491618366
2sa1mbtca2dma-20100200_7_974-str96      2dma1mbtca2sa                          -2430.9642407469255  -2430.8639966220107  0.0003362204424456083
2sa1pdpe2dma-20010200_7_542-str6        2dma1pdpe2sa                           -2931.8087421719197  -2931.6874792849326  0.00040671771586865614
2sa1mbtca2ma-20100020_1_999-str8        2ma1mbtca2sa                           -2352.546977549324   -2352.45253993408    0.00031674531358322525
2sa1pdpe2ma-20010020_4_964-str71        2ma1pdpe2sa                            -2853.384536160402   -2853.267439809653   0.00039274308485520574
1cha-str71                              1cha                                   -762.2364954939333   -762.1794228811959   0.0001914224810910286
1mbtca-str42                            1mbtca                                 -762.2373361986638   -762.181236979766    0.00018815770215542817
1pdpe-str13                             1pdpe                                  -1263.0750718630547  -1262.9968287751608  0.0002624286026955242
2cha-020_1_0-str87                      2cha                                   -1524.4915105655266  -1524.4040709301883  0.00029327397396774633
2mbtca-200_1_0-str13                    2mbtca                                 -1524.490541322061   -1524.4053733961252  0.00028565462329707567
2pdpe-002_1_0-str67                     2pdpe                                  -2526.1716849145     -2526.042841989251   0.000432141288776711
1am                                     1am                                    -56.463531386883524  -56.44168408221899   7.327621889832368e-05
1dma                                    1dma                                   -134.8693537915876   -134.83859796750997  0.00010315553941858612
1ma                                     1ma                                    -95.66374456323874   -95.636461632915     9.15073966921219e-05
1sa                                     1sa                                    -699.4483261503793   -699.4145386163119   0.00011332394454862088
1tma                                    1tma                                   -174.07844088570332  -174.04595799808098  0.0001089481389310658
