filename                                cluster(QHA=100cm^-1,T=298.15,p=1atm)  DeltaG(kcal/mol)     DeltaH(kcal/mol)     DeltaS(kcal/(K*mol))
2sa1cha2ma-21000020_4_277-str62         1cha2ma2sa                             -56.28456984087825   -108.19505514856428  -0.1741086208537111
1ma2pdpe2sa-20020010_4_664-str3         1ma2pdpe2sa                            -54.428347139037214  -112.56493002560455  -0.19499105445394732
1am2pdpe2sa-20020001_1_762-str75        1am2pdpe2sa                            -47.35061360464897   -104.35216007067356  -0.19118412364870885
2sa1cha2dma-21000200_7_659-str57        1cha2dma2sa                            -60.14845540106762   -113.6155220909277   -0.17932942039235883
2sa1cha2tma-21002000_4_871-str13        1cha2sa2tma                            -55.427762359176995  -109.78566248057177  -0.1823172903621793
2sa1pdpe2dma-20010200_7_542-str6        2dma1pdpe2sa                           -61.69008657569066   -115.69733531726524  -0.18114119987226876
2sa1pdpe2am-20010002_7_967-str53        2am1pdpe2sa                            -45.16801626374945   -94.65603073337115   -0.16598361385081561
2sa1mbtca2ma-20100020_1_999-str8        2ma1mbtca2sa                           -53.65145844838116   -106.23779895959888  -0.17637545031140267
2sa1pdpe2ma-20010020_4_964-str71        2ma1pdpe2sa                            -53.54035696364008   -105.80361719545908  -0.17529183374653298
2am2pdpe1sa-10020002_3_254-str58        2am2pdpe1sa                            -37.0398258260102    -89.91296600125497   -0.1773373810990693
2cha1sa2tma-12002000_3_181-str15        2cha1sa2tma                            -46.39024518194492   -104.61695895483717  -0.19529335493120797
1am2mbtca2sa-20200001_5_567-str13       1am2mbtca2sa                           -40.7735600580927    -97.11951286508702   -0.18898525173975114
1dma2mbtca2sa-20200100_3_631-str1       1dma2mbtca2sa                          -48.55077802762389   -106.75633268035017  -0.1952223868942995
1dma2pdpe2sa-20020100_2_169-str49       1dma2pdpe2sa                           -53.03634963033255   -112.13043566758279  -0.19820253576085495
1ma2mbtca2sa-20200010_1_704-str43       1ma2mbtca2sa                           -46.2710508487653    -104.42244560294785  -0.1950407337050012
2dma2pdpe1sa-10020200_3_541-str70       2dma2pdpe1sa                           -49.94431412575068   -106.92845585540636  -0.19112574787628028
2am2mbtca1sa-10200002_4_393-str25       2am2mbtca1sa                           -29.60097038274398   -80.60787499911385   -0.1710779963642137
2ma2mbtca1sa-10200020_3_892-str17       2ma2mbtca1sa                           -41.93845800071722   -96.57309560320573   -0.18324547242114983
2pdpe2sa1tma-20021000_4_719-str42       2pdpe2sa1tma                           -49.93175495667674   -108.04000666775391  -0.19489603122993826
2sa1cha1ma1am-21000011_5_384-str7       1am1cha1ma2sa                          -51.349532552529126  -101.13455478812102  -0.1669797827772681
2pdpe1sa2tma-10022000_1_362-str46       2pdpe1sa2tma                           -45.56287248173612   -102.65373284672387  -0.19148368393255719
2sa1pdpe2tma-20012000_7_457-str37       1pdpe2sa2tma                           -55.347006003168644  -108.81217836443102  -0.17932306678197762
2sa1mbtca2am-20100002_2_762-str40       2am1mbtca2sa                           -41.97958464419935   -91.52877569978591   -0.16618880112298473
