Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1eda-52_10      -38.72112726526
1fa1dma1eda-15_5       -38.73375075878
1fa1dma1eda-12_10      -38.73718513109
1fa1dma1eda-1_3        -38.73199766404
1fa1dma1eda-44_9       -38.7151034613 
1fa1dma1eda-34_2       -38.73423198702
1fa1dma1eda-37_11      -38.71093692864
1fa1dma1eda-62_4       -38.72427507515
1fa1dma1eda-50_6       -38.72534364793
1fa1dma1eda-1_4        -38.74091001574
1fa1dma1eda-34_5       -38.73194469091
1fa1dma1eda-62_3       -38.71887318859
1fa1dma1eda-12_8       -38.73231366321
1fa1dma1eda-50_1       -38.75763965521
1fa1dma1eda-43_4       -38.72894136284
1fa1dma1eda-49_10      -38.7195942726 
1fa1dma1eda-65_9       -38.73190767774
1fa1dma1eda-15_2       -38.72578354244
1fa1dma1eda-12_6       -38.72065289677
1fa1dma1eda-19_2       -38.72845845961
1fa1dma1eda-20_4       -38.71890413053
1fa1dma1eda-33_1       -38.75980733529
1fa1dma1eda-38_5       -38.72964404744
1fa1dma1eda-57_5       -38.73834808111
1fa1dma1eda-65_7       -38.72418899592
1fa1dma1eda-33_6       -38.72730296974
1fa1dma1eda-48_9       -38.73348349547
1fa1dma1eda-38_2       -38.72326623051
1fa1dma1eda-61_11      -38.71781311341
1fa1dma1eda-6_7        -38.74425567155
1fa1dma1eda-27_9       -38.73228966673
1fa1dma1eda-57_2       -38.71940657917
1fa1dma1eda-44_10      -38.70982113857
1fa1dma1eda-44_7       -38.7102660319 
1fa1dma1eda-12_1       -38.76377376677
1fa1dma1eda-21_11      -38.71212509077
1fa1dma1eda-19_5       -38.7252390458 
1fa1dma1eda-20_3       -38.72451642557
1fa1dma1eda-50_8       -38.72600342754
1fa1dma1eda-22_5       -38.72256659538
1fa1dma1eda-33_10      -38.71815104841
1fa1dma1eda-10_7       -38.72445797129
1fa1dma1eda-29_1       -38.7596426811 
1fa1dma1eda-46_1       -38.75996429885
1fa1dma1eda-16_11      -38.74071324754
1fa1dma1eda-56_11      -38.71886082528
1fa1dma1eda-67_6       -38.73501567882
1fa1dma1eda-55_4       -38.73230482722
1fa1dma1eda-4_1        -38.76453595606
1fa1dma1eda-67_1       -38.75583865767
1fa1dma1eda-55_3       -38.72131788445
1fa1dma1eda-68_10      -38.73309450116
1fa1dma1eda-25_8       -38.72964748974
1fa1dma1eda-4_6        -38.72804518248
1fa1dma1eda-31_7       -38.7253320197 
1fa1dma1eda-52_9       -38.72820570686
1fa1dma1eda-22_2       -38.71754185599
1fa1dma1eda-29_6       -38.72423403502
1fa1dma1eda-46_6       -38.72098118249
1fa1dma1eda-8_8        -38.74094187476
1fa1dma1eda-28_10      -38.73215451352
