Number of files in database_s1.pkl: 30317
Number of files in database_s2.pkl: 30316
Example output:
info  cluster_type                                                                          1am
      component_ratio                                                                       [1]
      components                                                                           [am]
      file_basename                                                                       1am-3
      folder_path                             /home/kubeckaj/BCP/knattrup/clusteromics_II/GF...
1msa1am1dma-9_4     -38.01643634092
1msa1am1dma-24_6    -38.01148010672
1msa1am1dma-19_10   -38.01002834757
1msa1am1dma-16_4    -38.01185412128
1msa1am1dma-14_2    -38.01350637014
1msa1am1dma-13_8    -38.0071647324 
1msa1am1dma-14_5    -38.00241743363
1msa1am1dma-26_7    -37.99350920088
1msa1am1dma-10_11   -38.00256318109
1msa1am1dma-18_5    -38.00890262732
1msa1am1dma-21_3    -38.00964631319
1msa1am1dma-7_5     -38.01133938936
1msa1am1dma-13_1    -38.02727518134
1msa1am1dma-23_10   -38.00370106948
1msa1am1dma-26_9    -37.98130696406
1msa1am1dma-2_11    -38.03207781566
1msa1am1dma-18_2    -38.01258201819
1msa1am1dma-21_4    -38.0048321519 
1msa1am1dma-7_2     -38.00882759335
1msa1am1dma-13_6    -38.01111161789
1msa1am1dma-30_3    -37.97961585977
1msa1am1dma-1_11    -38.02693013748
1msa1am1dma-28_2    -37.9932807017 
1msa1am1dma-11_4    -38.00926289949
1msa1am1dma-23_6    -38.00331872318
1msa1am1dma-28_5    -37.98807466512
1msa1am1dma-5_7     -38.01343336344
1msa1am1dma-11_3    -38.01106317839
1msa1am1dma-23_1    -38.02399148105
1msa1am1dma-30_4    -37.99870289841
1msa1am1dma-20_10   -38.01726758914
1msa1am1dma-9_9     -38.00079602885
1msa1am1dma-16_9    -38.01589109876
1msa1am1dma-5_9     -38.0222557751 
1msa1am1dma-13_11   -38.00714430892
1msa1am1dma-24_5    -38.00447176444
1msa1am1dma-9_7     -38.01190586987
1msa1am1dma-16_7    -38.01303332405
1msa1am1dma-2_3     -38.01581843869
1msa1am1dma-24_2    -38.01115558877
1msa1am1dma-2_4     -38.0093583352 
1msa1am1dma-23_8    -37.99488930246
1msa1am1dma-18_8    -38.0073481643 
1msa1am1dma-7_8     -38.01556511531
1msa1am1dma-14_6    -38.00587915143
1msa1am1dma-26_4    -37.992607981  
1msa1am1dma-5_10    -38.01737422012
1msa1am1dma-24_11   -38.00589181653
1msa1am1dma-14_1    -38.02652543816
1msa1am1dma-26_3    -37.99096761859
1msa1am1dma-21_9    -38.00352166322
1msa1am1dma-8_10    -38.02453089803
1msa1am1dma-17_10   -38.01127622017
1msa1am1dma-21_7    -38.0075229821 
1msa1am1dma-18_1    -38.02539940027
1msa1am1dma-13_5    -38.00808298113
1msa1am1dma-7_1     -38.03242154929
1msa1am1dma-18_6    -38.00865177728
1msa1am1dma-13_2    -38.00344000168
1msa1am1dma-7_6     -38.02334437552
1msa1am1dma-14_8    -38.01464150258
1msa1am1dma-29_11   -37.9873104281 
1msa1am1dma-22_10   -38.0131422645 
1msa1am1dma-22_6    -38.00855624149
1msa1am1dma-10_4    -38.00652975196
1msa1am1dma-29_2    -37.99500358192
1msa1am1dma-31_3    -37.99121126387
1msa1am1dma-31_4    -37.9939283396 
1msa1am1dma-17_9    -38.00746426363
1msa1am1dma-8_9     -38.02492741504
1msa1am1dma-22_1    -38.02168836666
1msa1am1dma-10_3    -38.00992813338
1msa1am1dma-4_7     -38.01886816816
1msa1am1dma-3_11    -38.01740734174
1msa1am1dma-29_5    -37.99195325506
1msa1am1dma-3_3     -38.00228315949
1msa1am1dma-17_7    -38.00152431962
1msa1am1dma-8_7     -38.02599453389
1msa1am1dma-25_5    -38.00143456497
1msa1am1dma-4_9     -38.01578298486
1msa1am1dma-11_11   -38.00724075668
1msa1am1dma-22_8    -38.01063264767
1msa1am1dma-3_4     -38.01873778202
1msa1am1dma-25_2    -38.01058883924
1msa1am1dma-27_4    -37.98754979624
1msa1am1dma-15_6    -38.01971421034
1msa1am1dma-1_2     -38.0223124807 
1msa1am1dma-6_8     -38.02452232829
1msa1am1dma-19_8    -38.0077044719 
1msa1am1dma-26_11   -37.98761125342
1msa1am1dma-7_10    -38.01808711583
1msa1am1dma-20_9    -38.00528559362
1msa1am1dma-18_10   -37.99885274336
1msa1am1dma-27_3    -37.98828789989
1msa1am1dma-15_1    -38.0253132578 
1msa1am1dma-1_5     -38.0256707429 
1msa1am1dma-6_1     -38.03602022691
1msa1am1dma-12_5    -38.00516659441
1msa1am1dma-19_1    -38.02576448077
1msa1am1dma-20_7    -38.00571455297
1msa1am1dma-15_8    -38.00992187719
1msa1am1dma-15_10   -38.01622846166
1msa1am1dma-6_6     -38.02107975976
1msa1am1dma-12_2    -38.01305705148
1msa1am1dma-19_6    -38.00888127621
1msa1am1dma-30_11   -37.98238399369
1msa1am1dma-21_1    -38.02266170765
1msa1am1dma-18_7    -38.00358568076
1msa1am1dma-7_7     -38.02883823431
1msa1am1dma-13_3    -38.00913894543
1msa1am1dma-14_9    -38.00986374052
1msa1am1dma-29_10   -37.98995165965
1msa1am1dma-8_11    -38.02400735243
1msa1am1dma-17_11   -38.01388022273
1msa1am1dma-21_6    -38.01379725075
1msa1am1dma-13_4    -38.00512974663
1msa1am1dma-24_10   -38.00454671303
1msa1am1dma-26_2    -37.99621640076
1msa1am1dma-21_8    -38.00749025782
1msa1am1dma-18_9    -38.00620218048
1msa1am1dma-7_9     -38.01339341344
1msa1am1dma-14_7    -38.01300552885
1msa1am1dma-26_5    -37.98627236163
1msa1am1dma-5_11    -38.03137242405
