#CLUSTER            ddG_298.15K_[Eh]     ddH_298.15K_[Eh]     ddS_298.15K_[Eh/K]
2am1dma1ma3sa       -68.05526352324523   -140.00090057658963  -241.30684907884043
1am3ma3sa           -68.39760414604098   -138.75480552623048  -235.9792097265872
1am1dma1eda3sa      -69.01495740166865   -130.37446370907128  -205.80079257826714
1eda2ma3sa          -69.32694461150095   -130.5127859718632   -205.21831749087966
2am1eda3sa1tma      -69.3549231045181    -142.17731519645895  -244.24749988907467
1ma3sa2tma          -69.89016291778535   -132.12632237625076  -208.7411016551945
1am2dma3sa          -69.93363872775808   -130.9409171936568   -204.61941460977818
2am1dma3sa1tma      -70.18404004967306   -143.12331175847794  -244.63951604493954
3sa4tma             -70.33512757415883   -145.9602073553251   -253.64776046080462
1eda3sa2tma         -70.33605625270866   -134.07410208083456  -213.77845322151163
1dma2ma3sa          -70.55329496925697   -132.26854624552652  -206.99396705148266
1eda1ma3sa1tma      -70.60575608105864   -134.0801781047776   -212.89425464884104
2am2eda3sa          -70.78631513682194   -145.05825155810453  -249.10929539049243
1dma1ma3sa1tma      -70.83987073285971   -133.50555063711363  -210.18172028836136
1dma3sa2tma         -70.92078134533949   -133.69307768921135  -210.53931357963137
1am1ma3sa2tma       -70.9481349226553    -144.72334645077353  -247.4432719359348
1am3sa3tma          -71.11039420065936   -144.78439625387546  -247.10381369352694
2am1dma1eda3sa      -71.21642450871877   -144.66175149008632  -246.3368337456132
2eda1ma3sa          -71.33891033031978   -134.7664080131799   -212.73686963687487
2am4sa1tma          -71.35579506598879   -144.23073736621882  -244.4237541513161
1am2ma3sa1tma       -71.39064515091013   -143.76552180174622  -242.7465257429436
2am1ma4sa           -71.67679722653702   -143.49139564600773  -240.86734334663777
1am1dma2ma3sa       -71.94491149135865   -144.4623453284148   -243.2246648905448
2eda3sa1tma         -72.001747902832     -137.10566786394338  -218.35961751067677
2am2dma3sa          -72.57459694729187   -144.74785691243596  -242.07030006771592
1am1eda2ma3sa       -73.00011605303735   -147.17339192237705  -248.7783862786444
1dma1eda1ma3sa      -73.54763006139547   -135.99517083796673  -209.45007806945108
2dma3sa1tma         -73.56589456053916   -136.99062954608235  -212.72760350520147
1am1eda3sa2tma      -73.673147179652     -149.52524087572237  -254.4091688620125
2am1dma4sa          -73.92749890661798   -146.23913705348969  -242.53442276326678
2ma3sa2tma          -73.95002471888438   -148.58086002379423  -250.3130481475426
1dma1eda3sa1tma     -74.05306698137429   -138.61889832650195  -216.55485944943598
4ma3sa              -74.26883123535663   -148.53834025957622  -249.10115386275533
1am1eda1ma3sa1tma   -74.27821045054588   -148.50905729734222  -248.97148028258786
1dma2eda3sa         -74.45881778909825   -138.362314180471    -214.33337712972548
1am1dma3sa2tma      -74.50893606967293   -148.7150069977506   -248.88838144457674
1am2eda1ma3sa       -74.8369159437716    -149.20159584865905  -249.4203585619982
1ma3sa3tma          -74.90253039693926   -149.85747988091316  -251.40013242741355
2dma1ma3sa          -75.22700856183656   -137.33642327948473  -208.315997710383
1am1dma1eda1ma3sa   -75.52086953422986   -149.58184310863726  -248.4017225370324
1am1dma1eda3sa1tma  -75.785632664687     -151.51849399341154  -254.009261541803
