Number of files in database_s1.pkl: 30501
Number of files in database_s2.pkl: 30501
Example output:
info  cluster_type                                                                       1am1fa
      component_ratio                                                                    [1, 1]
1fa1dma1eda-14_7       -515.325784377787 
1fa1dma1eda-42_1       -515.352438425821 
1fa1dma1eda-5_11       -515.311664523312 
1fa1dma1eda-49_5       -515.311872162156 
1fa1dma1eda-63_6       -515.305635520108 
1fa1dma1eda-51_4       -515.316963311946 
1fa1dma1eda-18_9       -515.313735444605 
1fa1dma1eda-6_8        -515.322674088433 
1fa1dma1eda-68_2       -515.305969041921 
1fa1dma1eda-19_10      -515.317480183647 
1fa1dma1eda-63_1       -515.348688005738 
1fa1dma1eda-51_3       -515.306587215491 
1fa1dma1eda-21_8       -515.312676027301 
1fa1dma1eda-68_5       -515.298723042206 
1fa1dma1eda-35_7       -515.314854275976 
1fa1dma1eda-27_11      -515.307015750107 
1fa1dma1eda-1_5        -515.328598999146 
1fa1dma1eda-56_9       -515.305851967628 
1fa1dma1eda-26_2       -515.299673452859 
1fa1dma1eda-67_11      -515.313253933537 
1fa1dma1eda-42_6       -515.318434296273 
1fa1dma1eda-39_9       -515.309992222032 
1fa1dma1eda-42_10      -515.307495927607 
1fa1dma1eda-49_2       -515.285357529932 
1fa1dma1eda-49_11      -515.306068453769 
1fa1dma1eda-36_1       -515.353243090396 
1fa1dma1eda-60_7       -515.310382767633 
1fa1dma1eda-59_1       -515.350331381221 
1fa1dma1eda-52_5       -515.312382311512 
1fa1dma1eda-5_9        -515.295604571467 
1fa1dma1eda-2_3        -515.312581399515 
1fa1dma1eda-25_4       -515.308869312536 
1fa1dma1eda-9_7        -515.31059383224  
1fa1dma1eda-17_6       -515.320671256839 
1fa1dma1eda-41_7       -515.31265043565  
1fa1dma1eda-12_11      -515.301881586833 
1fa1dma1eda-2_4        -515.300915893539 
1fa1dma1eda-55_8       -515.301653401859 
1fa1dma1eda-25_3       -515.321123723926 
1fa1dma1eda-37_10      -515.300408762499 
1fa1dma1eda-17_1       -515.357971997853 
1fa1dma1eda-36_6       -515.316975899101 
1fa1dma1eda-59_6       -515.304211932714 
1fa1dma1eda-52_2       -515.320580958545 
1fa1dma1eda-22_9       -515.290980276863 
1fa1dma1eda-52_11      -515.308942368148 
1fa1dma1eda-31_2       -515.303972515532 
1fa1dma1eda-41_9       -515.300939344942 
1fa1dma1eda-21_10      -515.296378771054 
1fa1dma1eda-55_6       -515.314525345639 
1fa1dma1eda-67_4       -515.302236882769 
1fa1dma1eda-61_10      -515.302742644376 
1fa1dma1eda-36_8       -515.314593204771 
1fa1dma1eda-46_3       -515.315524261774 
1fa1dma1eda-10_5       -515.31116628345  
1fa1dma1eda-59_8       -515.317371666227 
1fa1dma1eda-44_11      -515.311882521716 
1fa1dma1eda-29_3       -515.314861125696 
1fa1dma1eda-22_7       -515.323000300443 
1fa1dma1eda-46_4       -515.309032885109 
1fa1dma1eda-10_2       -515.305487433875 
1fa1dma1eda-60_9       -515.297712532826 
1fa1dma1eda-3_10       -515.313415964719 
1fa1dma1eda-29_4       -515.318969029527 
1fa1dma1eda-5_7        -515.311332136499 
1fa1dma1eda-31_5       -515.313309776684 
1fa1dma1eda-55_1       -515.350357342448 
1fa1dma1eda-17_8       -515.309898816107 
1fa1dma1eda-9_9        -515.307242058477 
1fa1dma1eda-67_3       -515.296153844245 
1fa1dma1eda-65_5       -515.309374770943 
1fa1dma1eda-57_7       -515.306692344881 
1fa1dma1eda-28_11      -515.312169126282 
1fa1dma1eda-38_7       -515.30531522659  
1fa1dma1eda-43_8       -515.297252223894 
1fa1dma1eda-33_3       -515.298360070581 
1fa1dma1eda-7_1        -515.358636608747 
1fa1dma1eda-68_11      -515.320347124309 
1fa1dma1eda-20_6       -515.313553409366 
1fa1dma1eda-12_4       -515.321725336941 
1fa1dma1eda-44_2       -515.300851369229 
1fa1dma1eda-34_9       -515.311323808714 
1fa1dma1eda-19_7       -515.310424126097 
1fa1dma1eda-7_6        -515.313821239033 
1fa1dma1eda-20_1       -515.357227059926 
