Number of files in database_s1.pkl: 15587
Number of files in database_s2.pkl: 15587
Example output:
info  cluster_type                                                                      1am1dma
      component_ratio                                                                    [1, 1]
1dma1eda-5_8       -325.562459287451 
1dma1eda-13_9      -325.550816330882 
1dma1eda-2_2       -325.549550472489 
1dma1eda-9_6       -325.559559161723 
1dma1eda-2_5       -325.555788696027 
1dma1eda-9_1       -325.585148786178 
1dma1eda-14_4      -325.55647885111  
1dma1eda-18_4      -325.54545860729  
1dma1eda-5_1       -325.586214594852 
1dma1eda-17_11     -325.540502544024 
1dma1eda-2_10      -325.561282769977 
1dma1eda-5_6       -325.557694661874 
1dma1eda-13_7      -325.559795359849 
1dma1eda-18_3      -325.561448197307 
1dma1eda-9_8       -325.555584980525 
1dma1eda-9_11      -325.557707006192 
1dma1eda-10_1      -325.586285041898 
1dma1eda-10_6      -325.550561806064 
1dma1eda-6_7       -325.557552522296 
1dma1eda-1_3       -325.560379727937 
1dma1eda-10_8      -325.565453762364 
1dma1eda-4_11      -325.561325693625 
1dma1eda-6_9       -325.555371136916 
1dma1eda-17_2      -325.547872678851 
1dma1eda-17_5      -325.55592756934  
1dma1eda-1_4       -325.551048572206 
1dma1eda-11_10     -325.556283092178 
1dma1eda-12_9      -325.543769667404 
1dma1eda-8_6       -325.55788217359  
1dma1eda-3_2       -325.553767877064 
1dma1eda-15_3      -325.558740707921 
1dma1eda-4_8       -325.55693325861  
1dma1eda-15_4      -325.563806332457 
1dma1eda-18_11     -325.553461134417 
1dma1eda-8_1       -325.58596799047  
1dma1eda-3_5       -325.568639610962 
1dma1eda-4_1       -325.586315616788 
1dma1eda-15_11     -325.556357170727 
1dma1eda-12_7      -325.553729421409 
1dma1eda-8_8       -325.549946122283 
1dma1eda-4_6       -325.56105926647  
1dma1eda-2_11      -325.553774162896 
1dma1eda-5_7       -325.557465345408 
1dma1eda-13_6      -325.558420986641 
1dma1eda-18_2      -325.5483239627   
1dma1eda-9_9       -325.557268693561 
1dma1eda-13_1      -325.585778840411 
1dma1eda-18_5      -325.566794435471 
1dma1eda-17_10     -325.554439861465 
1dma1eda-2_4       -325.558169539792 
1dma1eda-14_5      -325.56149135016  
1dma1eda-14_2      -325.556356439733 
1dma1eda-5_9       -325.565038967647 
1dma1eda-13_8      -325.561071762304 
1dma1eda-2_3       -325.565572471546 
1dma1eda-9_7       -325.561248829881 
1dma1eda-6_10      -325.552617125455 
1dma1eda-16_4      -325.554137684643 
1dma1eda-7_8       -325.550853351064 
1dma1eda-13_11     -325.561223421814 
1dma1eda-16_3      -325.562569578466 
1dma1eda-11_9      -325.555444993517 
1dma1eda-7_6       -325.559303472388 
1dma1eda-11_7      -325.564601421815 
1dma1eda-7_1       -325.586106795341 
1dma1eda-15_10     -325.547057882235 
1dma1eda-12_6      -325.5562065983   
1dma1eda-8_9       -325.553590933205 
1dma1eda-4_7       -325.556283276572 
1dma1eda-12_1      -325.584866135092 
1dma1eda-15_5      -325.552318643778 
1dma1eda-18_10     -325.556946984889 
